Epoch 038: Train Loss: 0.6739 (TP, FP, TN, FN)=(747, 1244, 5613, 3229), Val Loss: 0.6925 (TP, FP, TN, FN)=(80, 137, 609, 364)
Epoch 039: Train Loss: 0.6705 (TP, FP, TN, FN)=(1067, 1785, 5072, 2909), Val Loss: 0.6856 (TP, FP, TN, FN)=(121, 199, 547, 323)
Epoch 040: Train Loss: 0.6691 (TP, FP, TN, FN)=(1427, 2435, 4422, 2549), Val Loss: 0.6812 (TP, FP, TN, FN)=(169, 251, 495, 275)
Epoch 041: Train Loss: 0.6694 (TP, FP, TN, FN)=(1775, 3094, 3763, 2201), Val Loss: 0.6798 (TP, FP, TN, FN)=(203, 316, 430, 241)
Epoch 042: Train Loss: 0.6704 (TP, FP, TN, FN)=(2023, 3632, 3225, 1953), Val Loss: 0.6806 (TP, FP, TN, FN)=(233, 387, 359, 211)
Epoch 043: Train Loss: 0.6708 (TP, FP, TN, FN)=(2190, 3942, 2915, 1786), Val Loss: 0.6818 (TP, FP, TN, FN)=(247, 420, 326, 197)
Epoch 044: Train Loss: 0.6703 (TP, FP, TN, FN)=(2221, 3979, 2878, 1755), Val Loss: 0.6820 (TP, FP, TN, FN)=(253, 425, 321, 191)
Epoch 045: Train Loss: 0.6686 (TP, FP, TN, FN)=(2166, 3870, 2987, 1810), Val Loss: 0.6824 (TP, FP, TN, FN)=(251, 408, 338, 193)
Epoch 046: Train Loss: 0.6664 (TP, FP, TN, FN)=(2049, 3577, 3280, 1927), Val Loss: 0.6830 (TP, FP, TN, FN)=(237, 377, 369, 207)
Epoch 047: Train Loss: 0.6646 (TP, FP, TN, FN)=(1881, 3194, 3663, 2095), Val Loss: 0.6844 (TP, FP, TN, FN)=(210, 333, 413, 234)
Epoch 048: Train Loss: 0.6631 (TP, FP, TN, FN)=(1712, 2765, 4092, 2264), Val Loss: 0.6867 (TP, FP, TN, FN)=(189, 278, 468, 255)
Epoch 049: Train Loss: 0.6624 (TP, FP, TN, FN)=(1508, 2419, 4438, 2468), Val Loss: 0.6902 (TP, FP, TN, FN)=(171, 247, 499, 273)
