Epoch 035: Train Loss: 0.7532 (TP, FP, TN, FN)=(3602, 5998, 859, 374), Val Loss: 0.8209 (TP, FP, TN, FN)=(382, 657, 89, 62), f1=0.5152
Epoch 036: Train Loss: 0.8019 (TP, FP, TN, FN)=(3911, 6660, 197, 65), Val Loss: 0.8545 (TP, FP, TN, FN)=(432, 721, 25, 12), f1=0.5410
Epoch 037: Train Loss: 0.7638 (TP, FP, TN, FN)=(3681, 6217, 640, 295), Val Loss: 0.8161 (TP, FP, TN, FN)=(400, 672, 74, 44), f1=0.5277
Epoch 038: Train Loss: 0.7062 (TP, FP, TN, FN)=(2474, 4220, 2637, 1502), Val Loss: 0.7755 (TP, FP, TN, FN)=(261, 482, 264, 183), f1=0.4398
Epoch 039: Train Loss: 0.7165 (TP, FP, TN, FN)=(875, 1608, 5249, 3101), Val Loss: 0.8098 (TP, FP, TN, FN)=(95, 189, 557, 349), f1=0.2610
Epoch 040: Train Loss: 0.7508 (TP, FP, TN, FN)=(119, 250, 6607, 3857), Val Loss: 0.8501 (TP, FP, TN, FN)=(18, 30, 716, 426), f1=0.0732
Epoch 041: Train Loss: 0.7400 (TP, FP, TN, FN)=(98, 191, 6666, 3878), Val Loss: 0.8208 (TP, FP, TN, FN)=(13, 22, 724, 431), f1=0.0543
Epoch 042: Train Loss: 0.6998 (TP, FP, TN, FN)=(494, 1091, 5766, 3482), Val Loss: 0.7454 (TP, FP, TN, FN)=(51, 140, 606, 393), f1=0.1606
Epoch 043: Train Loss: 0.6975 (TP, FP, TN, FN)=(1952, 3864, 2993, 2024), Val Loss: 0.7175 (TP, FP, TN, FN)=(217, 443, 303, 227), f1=0.3931
Epoch 044: Train Loss: 0.7298 (TP, FP, TN, FN)=(2755, 5143, 1714, 1221), Val Loss: 0.7463 (TP, FP, TN, FN)=(301, 572, 174, 143), f1=0.4571
Epoch 045: Train Loss: 0.7241 (TP, FP, TN, FN)=(2628, 4964, 1893, 1348), Val Loss: 0.7381 (TP, FP, TN, FN)=(285, 561, 185, 159), f1=0.4419
Epoch 046: Train Loss: 0.6937 (TP, FP, TN, FN)=(1490, 3097, 3760, 2486), Val Loss: 0.7062 (TP, FP, TN, FN)=(164, 364, 382, 280), f1=0.3374
Epoch 047: Train Loss: 0.6975 (TP, FP, TN, FN)=(286, 561, 6296, 3690), Val Loss: 0.7200 (TP, FP, TN, FN)=(32, 82, 664, 412), f1=0.1147
Epoch 048: Train Loss: 0.7147 (TP, FP, TN, FN)=(72, 118, 6739, 3904), Val Loss: 0.7500 (TP, FP, TN, FN)=(9, 9, 737, 435), f1=0.0390
Epoch 049: Train Loss: 0.7069 (TP, FP, TN, FN)=(154, 238, 6619, 3822), Val Loss: 0.7434 (TP, FP, TN, FN)=(16, 29, 717, 428), f1=0.0654
Epoch 050: Train Loss: 0.6876 (TP, FP, TN, FN)=(1054, 1896, 4961, 2922), Val Loss: 0.7161 (TP, FP, TN, FN)=(112, 216, 530, 332), f1=0.2902
Epoch 051: Train Loss: 0.6892 (TP, FP, TN, FN)=(2384, 4191, 2666, 1592), Val Loss: 0.7115 (TP, FP, TN, FN)=(259, 489, 257, 185), f1=0.4346
Epoch 052: Train Loss: 0.7017 (TP, FP, TN, FN)=(2960, 5171, 1686, 1016), Val Loss: 0.7243 (TP, FP, TN, FN)=(322, 577, 169, 122), f1=0.4795
Epoch 053: Train Loss: 0.6966 (TP, FP, TN, FN)=(2916, 4989, 1868, 1060), Val Loss: 0.7216 (TP, FP, TN, FN)=(315, 565, 181, 129), f1=0.4758
Epoch 054: Train Loss: 0.6848 (TP, FP, TN, FN)=(2370, 3936, 2921, 1606), Val Loss: 0.7175 (TP, FP, TN, FN)=(248, 457, 289, 196), f1=0.4317
Epoch 055: Train Loss: 0.6870 (TP, FP, TN, FN)=(1631, 2530, 4327, 2345), Val Loss: 0.7325 (TP, FP, TN, FN)=(176, 288, 458, 268), f1=0.3877
Epoch 056: Train Loss: 0.6941 (TP, FP, TN, FN)=(1204, 1772, 5085, 2772), Val Loss: 0.7470 (TP, FP, TN, FN)=(136, 203, 543, 308), f1=0.3474
Epoch 057: Train Loss: 0.6907 (TP, FP, TN, FN)=(1323, 2009, 4848, 2653), Val Loss: 0.7398 (TP, FP, TN, FN)=(144, 232, 514, 300), f1=0.3512
Epoch 058: Train Loss: 0.6820 (TP, FP, TN, FN)=(1940, 3081, 3776, 2036), Val Loss: 0.7191 (TP, FP, TN, FN)=(206, 356, 390, 238), f1=0.4095
Epoch 059: Train Loss: 0.6818 (TP, FP, TN, FN)=(2581, 4345, 2512, 1395), Val Loss: 0.7075 (TP, FP, TN, FN)=(273, 498, 248, 171), f1=0.4494
Epoch 060: Train Loss: 0.6867 (TP, FP, TN, FN)=(2876, 4906, 1951, 1100), Val Loss: 0.7068 (TP, FP, TN, FN)=(308, 547, 199, 136), f1=0.4742
Epoch 061: Train Loss: 0.6837 (TP, FP, TN, FN)=(2758, 4712, 2145, 1218), Val Loss: 0.7015 (TP, FP, TN, FN)=(297, 531, 215, 147), f1=0.4670
Epoch 062: Train Loss: 0.6780 (TP, FP, TN, FN)=(2289, 3809, 3048, 1687), Val Loss: 0.6962 (TP, FP, TN, FN)=(238, 437, 309, 206), f1=0.4254
Epoch 063: Train Loss: 0.6799 (TP, FP, TN, FN)=(1501, 2278, 4579, 2475), Val Loss: 0.7006 (TP, FP, TN, FN)=(163, 263, 483, 281), f1=0.3747
Epoch 064: Train Loss: 0.6826 (TP, FP, TN, FN)=(1121, 1611, 5246, 2855), Val Loss: 0.7038 (TP, FP, TN, FN)=(127, 182, 564, 317), f1=0.3373
Epoch 065: Train Loss: 0.6791 (TP, FP, TN, FN)=(1460, 2180, 4677, 2516), Val Loss: 0.6966 (TP, FP, TN, FN)=(161, 249, 497, 283), f1=0.3770
Epoch 066: Train Loss: 0.6759 (TP, FP, TN, FN)=(2184, 3547, 3310, 1792), Val Loss: 0.6886 (TP, FP, TN, FN)=(229, 399, 347, 215), f1=0.4272
Epoch 067: Train Loss: 0.6780 (TP, FP, TN, FN)=(2547, 4283, 2574, 1429), Val Loss: 0.6886 (TP, FP, TN, FN)=(276, 491, 255, 168), f1=0.4558
Epoch 068: Train Loss: 0.6782 (TP, FP, TN, FN)=(2613, 4367, 2490, 1363), Val Loss: 0.6894 (TP, FP, TN, FN)=(282, 494, 252, 162), f1=0.4623
Epoch 069: Train Loss: 0.6748 (TP, FP, TN, FN)=(2392, 3918, 2939, 1584), Val Loss: 0.6886 (TP, FP, TN, FN)=(249, 442, 304, 195), f1=0.4388
Epoch 070: Train Loss: 0.6746 (TP, FP, TN, FN)=(2044, 3129, 3728, 1932), Val Loss: 0.6933 (TP, FP, TN, FN)=(226, 359, 387, 218), f1=0.4393
Epoch 071: Train Loss: 0.6764 (TP, FP, TN, FN)=(1888, 2773, 4084, 2088), Val Loss: 0.6991 (TP, FP, TN, FN)=(211, 318, 428, 233), f1=0.4337
Epoch 072: Train Loss: 0.6752 (TP, FP, TN, FN)=(1977, 2940, 3917, 1999), Val Loss: 0.6978 (TP, FP, TN, FN)=(220, 335, 411, 224), f1=0.4404
Epoch 073: Train Loss: 0.6733 (TP, FP, TN, FN)=(2265, 3523, 3334, 1711), Val Loss: 0.6926 (TP, FP, TN, FN)=(242, 392, 354, 202), f1=0.4490
Epoch 074: Train Loss: 0.6739 (TP, FP, TN, FN)=(2537, 4085, 2772, 1439), Val Loss: 0.6903 (TP, FP, TN, FN)=(265, 455, 291, 179), f1=0.4553
Epoch 075: Train Loss: 0.6743 (TP, FP, TN, FN)=(2611, 4232, 2625, 1365), Val Loss: 0.6896 (TP, FP, TN, FN)=(275, 470, 276, 169), f1=0.4626
Epoch 076: Train Loss: 0.6725 (TP, FP, TN, FN)=(2479, 3948, 2909, 1497), Val Loss: 0.6885 (TP, FP, TN, FN)=(258, 443, 303, 186), f1=0.4507
