detector_id,correlation,correlation_ma
01315124,0.374,0.496
01315125,0.438,0.524
01315127,0.330,0.420
01315141,0.738,0.788
01315143,0.553,0.734
01320114,0.065,0.044
01320118,0.300,0.335
01320120,N/A,N/A
01320122,N/A,N/A
01320124,N/A,N/A
01320141,0.715,0.815
01320143,0.160,0.160
01320145,0.501,0.593
01320147,0.392,0.528
01325115,0.383,0.356
01325117,0.213,0.292
01325119,0.792,0.879
01325137,-0.295,-0.361
01325139,-0.594,-0.708
01325141,0.016,0.087
01335111,0.467,0.521
01335113,0.228,0.223
01335121,-0.189,-0.255
01335123,-0.526,-0.645
01360111,0.251,0.394
01360113,-0.101,-0.034
01368117,-0.379,-0.402
01368119,-0.675,-0.757
01368121,0.461,0.590
01368122,0.010,0.044
01368124,N/A,N/A
01459113,0.657,0.764
01459114,0.363,0.420
01490131,0.627,0.735
01490133,-0.193,-0.147
01490135,-0.564,-0.642
01495111,-0.220,-0.076
01495112,-0.116,0.004
01495113,-0.458,-0.524
01509111,0.916,0.964
01509113,0.480,0.598
01509115,0.858,0.888
01509122,-0.306,-0.418
01509124,N/A,N/A
01509126,-0.524,-0.609
01509128,N/A,N/A
01513111,0.079,0.149
01513113,0.105,0.171
01513121,0.939,0.955
01513123,N/A,N/A
01513125,-0.538,-0.620
01514111,0.361,0.437
01514113,0.424,0.477
01514131,0.084,0.192
01514133,0.735,0.777
01530121,0.689,0.772
01530125,0.281,0.514
01550132,0.304,0.429
01550134,0.945,0.972
01550135,N/A,N/A
01550137,N/A,N/A
01555143,N/A,N/A
01555146,N/A,N/A
01555150,0.051,0.057
01555152,0.066,0.067
01577141,0.816,0.897
01577143,0.310,0.276
01630008,N/A,N/A
01630009,-0.503,-0.529
01630010,0.586,0.631
01630011,-0.463,-0.447
01630012,-0.123,-0.088
01634111,N/A,N/A
01634112,N/A,N/A
01634113,N/A,N/A
01634121,N/A,N/A
01634122,N/A,N/A
01634123,N/A,N/A
01650124,-0.212,-0.281
01650126,-0.362,-0.502
01670112,N/A,N/A
01670114,N/A,N/A
01736152,0.770,0.784
01736154,0.545,0.583
01736156,0.643,0.669
01736157,-0.154,-0.046
01736159,-0.394,-0.415
01736161,-0.803,-0.844
01736163,0.814,0.912
01860141,0.263,0.430
02190131,N/A,N/A
02190132,0.107,0.181
02191119,N/A,N/A
02191121,N/A,0.671
02191131,0.311,0.299
02191132,0.485,0.619
02290112,0.527,0.694
02290113,-0.840,-0.860
02290114,-0.755,-0.749
02290122,-0.429,-0.498
02290124,-0.440,-0.464
02290126,-0.376,-0.392
02305122.1,0.929,0.951
02305124,0.792,0.813
02305126.1,0.989,0.995
02305132,-0.460,-0.416
02305134,0.531,0.730
