Epoch 001: Train Loss: 2.0021 (TP, FP, TN, FN)=(4300, 7212, 3, 7), Val Loss: 2.0667 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 002: Train Loss: 8.1813 (TP, FP, TN, FN)=(0, 0, 6965, 3994), Val Loss: 9.1175 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 003: Train Loss: 6.3460 (TP, FP, TN, FN)=(0, 0, 6997, 4048), Val Loss: 7.1049 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 004: Train Loss: 3.3621 (TP, FP, TN, FN)=(0, 0, 6903, 4004), Val Loss: 3.7585 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 005: Train Loss: 1.0577 (TP, FP, TN, FN)=(1326, 1637, 5390, 2705), Val Loss: 1.3120 (TP, FP, TN, FN)=(141, 182, 564, 303), f1=0.3677
Epoch 006: Train Loss: 1.7204 (TP, FP, TN, FN)=(4030, 6948, 8, 2), Val Loss: 1.8039 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 007: Train Loss: 2.2457 (TP, FP, TN, FN)=(4018, 7074, 0, 0), Val Loss: 2.3160 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 008: Train Loss: 1.9141 (TP, FP, TN, FN)=(4025, 7084, 2, 4), Val Loss: 1.9860 (TP, FP, TN, FN)=(443, 746, 0, 1), f1=0.5426
Epoch 009: Train Loss: 1.3403 (TP, FP, TN, FN)=(4000, 6988, 22, 12), Val Loss: 1.3844 (TP, FP, TN, FN)=(441, 743, 3, 3), f1=0.5418
Epoch 010: Train Loss: 0.8779 (TP, FP, TN, FN)=(3850, 6581, 322, 147), Val Loss: 0.8911 (TP, FP, TN, FN)=(421, 710, 36, 23), f1=0.5346
Epoch 011: Train Loss: 0.7540 (TP, FP, TN, FN)=(2549, 3715, 3363, 1692), Val Loss: 0.7797 (TP, FP, TN, FN)=(269, 379, 367, 175), f1=0.4927
Epoch 012: Train Loss: 0.8564 (TP, FP, TN, FN)=(70, 115, 6805, 3934), Val Loss: 0.9393 (TP, FP, TN, FN)=(8, 11, 735, 436), f1=0.0346
Epoch 013: Train Loss: 0.9284 (TP, FP, TN, FN)=(13, 8, 7063, 4034), Val Loss: 1.0474 (TP, FP, TN, FN)=(1, 1, 745, 443), f1=0.0045
Epoch 014: Train Loss: 0.9361 (TP, FP, TN, FN)=(9, 2, 6983, 4025), Val Loss: 1.0442 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 015: Train Loss: 0.8864 (TP, FP, TN, FN)=(11, 10, 7017, 4207), Val Loss: 0.9611 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
Epoch 016: Train Loss: 0.8138 (TP, FP, TN, FN)=(27, 44, 6976, 3973), Val Loss: 0.8588 (TP, FP, TN, FN)=(1, 6, 740, 443), f1=0.0044
Epoch 017: Train Loss: 0.7505 (TP, FP, TN, FN)=(114, 232, 6796, 3938), Val Loss: 0.7722 (TP, FP, TN, FN)=(7, 29, 717, 437), f1=0.0292
Epoch 018: Train Loss: 0.7063 (TP, FP, TN, FN)=(463, 977, 5924, 3522), Val Loss: 0.7198 (TP, FP, TN, FN)=(60, 110, 636, 384), f1=0.1954
Epoch 019: Train Loss: 0.7022 (TP, FP, TN, FN)=(1473, 2879, 4077, 2536), Val Loss: 0.7206 (TP, FP, TN, FN)=(156, 348, 398, 288), f1=0.3291
Epoch 020: Train Loss: 0.7184 (TP, FP, TN, FN)=(2643, 4873, 2078, 1365), Val Loss: 0.7414 (TP, FP, TN, FN)=(278, 536, 210, 166), f1=0.4420
Epoch 021: Train Loss: 0.7341 (TP, FP, TN, FN)=(3306, 5868, 1045, 694), Val Loss: 0.7591 (TP, FP, TN, FN)=(354, 640, 106, 90), f1=0.4924
Epoch 022: Train Loss: 0.7384 (TP, FP, TN, FN)=(3572, 6278, 731, 471), Val Loss: 0.7633 (TP, FP, TN, FN)=(384, 671, 75, 60), f1=0.5123
Epoch 023: Train Loss: 0.7311 (TP, FP, TN, FN)=(3589, 6225, 755, 449), Val Loss: 0.7538 (TP, FP, TN, FN)=(385, 665, 81, 59), f1=0.5154
Epoch 024: Train Loss: 0.7156 (TP, FP, TN, FN)=(3360, 5860, 1043, 636), Val Loss: 0.7357 (TP, FP, TN, FN)=(363, 631, 115, 81), f1=0.5049
Epoch 025: Train Loss: 0.6990 (TP, FP, TN, FN)=(2943, 5095, 1783, 1050), Val Loss: 0.7181 (TP, FP, TN, FN)=(302, 554, 192, 142), f1=0.4646
Epoch 026: Train Loss: 0.6883 (TP, FP, TN, FN)=(2186, 3826, 3126, 1816), Val Loss: 0.7042 (TP, FP, TN, FN)=(222, 411, 335, 222), f1=0.4123
Epoch 027: Train Loss: 0.6865 (TP, FP, TN, FN)=(1414, 2317, 4569, 2581), Val Loss: 0.7011 (TP, FP, TN, FN)=(133, 257, 489, 311), f1=0.3189
Epoch 028: Train Loss: 0.6854 (TP, FP, TN, FN)=(811, 1380, 5615, 3410), Val Loss: 0.7081 (TP, FP, TN, FN)=(81, 139, 607, 363), f1=0.2440
Epoch 029: Train Loss: 0.6918 (TP, FP, TN, FN)=(514, 886, 6125, 3508), Val Loss: 0.7146 (TP, FP, TN, FN)=(56, 85, 661, 388), f1=0.1915
Epoch 030: Train Loss: 0.6925 (TP, FP, TN, FN)=(449, 727, 6316, 3614), Val Loss: 0.7125 (TP, FP, TN, FN)=(48, 74, 672, 396), f1=0.1696
Epoch 031: Train Loss: 0.6976 (TP, FP, TN, FN)=(460, 757, 6160, 3554), Val Loss: 0.7092 (TP, FP, TN, FN)=(55, 75, 671, 389), f1=0.1916
Epoch 032: Train Loss: 0.6859 (TP, FP, TN, FN)=(621, 1006, 5888, 3368), Val Loss: 0.7031 (TP, FP, TN, FN)=(69, 106, 640, 375), f1=0.2229
Epoch 033: Train Loss: 0.6816 (TP, FP, TN, FN)=(848, 1377, 5542, 3143), Val Loss: 0.6972 (TP, FP, TN, FN)=(87, 162, 584, 357), f1=0.2511
Epoch 034: Train Loss: 0.6772 (TP, FP, TN, FN)=(1147, 1900, 5177, 2872), Val Loss: 0.6924 (TP, FP, TN, FN)=(115, 219, 527, 329), f1=0.2956
Epoch 035: Train Loss: 0.6762 (TP, FP, TN, FN)=(1488, 2403, 4657, 2567), Val Loss: 0.6889 (TP, FP, TN, FN)=(158, 256, 490, 286), f1=0.3683
Epoch 036: Train Loss: 0.6752 (TP, FP, TN, FN)=(1713, 2729, 4206, 2278), Val Loss: 0.6849 (TP, FP, TN, FN)=(187, 303, 443, 257), f1=0.4004
Epoch 037: Train Loss: 0.6745 (TP, FP, TN, FN)=(1963, 3202, 3823, 2056), Val Loss: 0.6854 (TP, FP, TN, FN)=(206, 343, 403, 238), f1=0.4149
Epoch 038: Train Loss: 0.6747 (TP, FP, TN, FN)=(2146, 3487, 3495, 1892), Val Loss: 0.6851 (TP, FP, TN, FN)=(229, 369, 377, 215), f1=0.4395
Epoch 039: Train Loss: 0.6737 (TP, FP, TN, FN)=(2317, 3638, 3413, 1933), Val Loss: 0.6870 (TP, FP, TN, FN)=(239, 379, 367, 205), f1=0.4501
Epoch 040: Train Loss: 0.6715 (TP, FP, TN, FN)=(2198, 3631, 3452, 1808), Val Loss: 0.6875 (TP, FP, TN, FN)=(237, 383, 363, 207), f1=0.4455
