Epoch 001: Train Loss: 3.7658 (TP, FP, TN, FN)=(3937, 6846, 30, 20), Val Loss: 3.9463 (TP, FP, TN, FN)=(460, 724, 3, 3)
Epoch 002: Train Loss: 5.3351 (TP, FP, TN, FN)=(16, 14, 6862, 3941), Val Loss: 6.0071 (TP, FP, TN, FN)=(0, 2, 725, 463)
Epoch 003: Train Loss: 4.3832 (TP, FP, TN, FN)=(15, 24, 6852, 3942), Val Loss: 4.8645 (TP, FP, TN, FN)=(0, 4, 723, 463)
Epoch 004: Train Loss: 2.5628 (TP, FP, TN, FN)=(180, 282, 6594, 3777), Val Loss: 2.7452 (TP, FP, TN, FN)=(15, 35, 692, 448)
Epoch 005: Train Loss: 1.1704 (TP, FP, TN, FN)=(2073, 2875, 4001, 1884), Val Loss: 1.2702 (TP, FP, TN, FN)=(241, 314, 413, 222)
Epoch 006: Train Loss: 1.5248 (TP, FP, TN, FN)=(3874, 6694, 182, 83), Val Loss: 1.6190 (TP, FP, TN, FN)=(453, 707, 20, 10)
Epoch 007: Train Loss: 1.8676 (TP, FP, TN, FN)=(3951, 6860, 16, 6), Val Loss: 1.9459 (TP, FP, TN, FN)=(461, 726, 1, 2)
Epoch 008: Train Loss: 1.5746 (TP, FP, TN, FN)=(3941, 6847, 29, 16), Val Loss: 1.6613 (TP, FP, TN, FN)=(460, 724, 3, 3)
Epoch 009: Train Loss: 1.0936 (TP, FP, TN, FN)=(3758, 6528, 348, 199), Val Loss: 1.1833 (TP, FP, TN, FN)=(439, 695, 32, 24)
Epoch 010: Train Loss: 0.8475 (TP, FP, TN, FN)=(1740, 3277, 3599, 2217), Val Loss: 0.9521 (TP, FP, TN, FN)=(208, 370, 357, 255)
Epoch 011: Train Loss: 0.9430 (TP, FP, TN, FN)=(217, 509, 6367, 3740), Val Loss: 1.0636 (TP, FP, TN, FN)=(25, 62, 665, 438)
Epoch 012: Train Loss: 0.9834 (TP, FP, TN, FN)=(56, 172, 6704, 3901), Val Loss: 1.1056 (TP, FP, TN, FN)=(9, 15, 712, 454)
Epoch 013: Train Loss: 0.9305 (TP, FP, TN, FN)=(54, 171, 6705, 3903), Val Loss: 1.0262 (TP, FP, TN, FN)=(5, 14, 713, 458)
Epoch 014: Train Loss: 0.8585 (TP, FP, TN, FN)=(108, 329, 6547, 3849), Val Loss: 0.9028 (TP, FP, TN, FN)=(17, 25, 702, 446)
Epoch 015: Train Loss: 0.8087 (TP, FP, TN, FN)=(231, 655, 6221, 3726), Val Loss: 0.7986 (TP, FP, TN, FN)=(33, 58, 669, 430)
Epoch 016: Train Loss: 0.7764 (TP, FP, TN, FN)=(463, 1091, 5785, 3494), Val Loss: 0.7514 (TP, FP, TN, FN)=(61, 116, 611, 402)
Epoch 017: Train Loss: 0.7534 (TP, FP, TN, FN)=(837, 1785, 5091, 3120), Val Loss: 0.7297 (TP, FP, TN, FN)=(98, 189, 538, 365)
Epoch 018: Train Loss: 0.7361 (TP, FP, TN, FN)=(1314, 2677, 4199, 2643), Val Loss: 0.7226 (TP, FP, TN, FN)=(149, 290, 437, 314)
Epoch 019: Train Loss: 0.7228 (TP, FP, TN, FN)=(1830, 3490, 3386, 2127), Val Loss: 0.7218 (TP, FP, TN, FN)=(193, 379, 348, 270)
Epoch 020: Train Loss: 0.7133 (TP, FP, TN, FN)=(2101, 3970, 2906, 1856), Val Loss: 0.7153 (TP, FP, TN, FN)=(230, 427, 300, 233)
Epoch 021: Train Loss: 0.7087 (TP, FP, TN, FN)=(2199, 4075, 2801, 1758), Val Loss: 0.7138 (TP, FP, TN, FN)=(249, 442, 285, 214)
Epoch 022: Train Loss: 0.7037 (TP, FP, TN, FN)=(2124, 3878, 2998, 1833), Val Loss: 0.7101 (TP, FP, TN, FN)=(237, 421, 306, 226)
Epoch 023: Train Loss: 0.7002 (TP, FP, TN, FN)=(1961, 3495, 3381, 1996), Val Loss: 0.7057 (TP, FP, TN, FN)=(220, 380, 347, 243)
Epoch 024: Train Loss: 0.6948 (TP, FP, TN, FN)=(1661, 2936, 3940, 2296), Val Loss: 0.7037 (TP, FP, TN, FN)=(194, 332, 395, 269)
Epoch 025: Train Loss: 0.6932 (TP, FP, TN, FN)=(1422, 2506, 4370, 2535), Val Loss: 0.7049 (TP, FP, TN, FN)=(166, 274, 453, 297)
Epoch 026: Train Loss: 0.6910 (TP, FP, TN, FN)=(1306, 2323, 4553, 2651), Val Loss: 0.7056 (TP, FP, TN, FN)=(149, 254, 473, 314)
Epoch 027: Train Loss: 0.6881 (TP, FP, TN, FN)=(1322, 2346, 4530, 2635), Val Loss: 0.7055 (TP, FP, TN, FN)=(145, 258, 469, 318)
Epoch 028: Train Loss: 0.6851 (TP, FP, TN, FN)=(1399, 2508, 4368, 2558), Val Loss: 0.7040 (TP, FP, TN, FN)=(153, 287, 440, 310)
Epoch 029: Train Loss: 0.6827 (TP, FP, TN, FN)=(1537, 2792, 4084, 2420), Val Loss: 0.7027 (TP, FP, TN, FN)=(172, 320, 407, 291)
