Epoch 001: Train Loss: 1.9177 (TP, FP, TN, FN)=(301, 291, 6566, 3675), Val Loss: 2.5466 (TP, FP, TN, FN)=(24, 44, 702, 420)
Epoch 002: Train Loss: 10.2706 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 10.5726 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 003: Train Loss: 6.6242 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 6.8759 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 004: Train Loss: 2.3127 (TP, FP, TN, FN)=(3969, 6843, 14, 7), Val Loss: 2.4757 (TP, FP, TN, FN)=(442, 744, 2, 2)
Epoch 005: Train Loss: 1.7269 (TP, FP, TN, FN)=(79, 119, 6738, 3897), Val Loss: 2.0399 (TP, FP, TN, FN)=(6, 18, 728, 438)
Epoch 006: Train Loss: 2.8129 (TP, FP, TN, FN)=(1, 0, 6857, 3975), Val Loss: 3.2133 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 007: Train Loss: 2.4519 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 2.7990 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 008: Train Loss: 1.4883 (TP, FP, TN, FN)=(3, 10, 6847, 3973), Val Loss: 1.7791 (TP, FP, TN, FN)=(1, 3, 743, 443)
Epoch 009: Train Loss: 0.7809 (TP, FP, TN, FN)=(803, 1360, 5497, 3173), Val Loss: 0.9889 (TP, FP, TN, FN)=(89, 164, 582, 355)
Epoch 010: Train Loss: 0.9325 (TP, FP, TN, FN)=(3932, 6771, 86, 44), Val Loss: 0.9771 (TP, FP, TN, FN)=(439, 735, 11, 5)
Epoch 011: Train Loss: 1.1910 (TP, FP, TN, FN)=(3975, 6855, 2, 1), Val Loss: 1.2199 (TP, FP, TN, FN)=(443, 746, 0, 1)
Epoch 012: Train Loss: 1.1543 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 1.1742 (TP, FP, TN, FN)=(443, 746, 0, 1)
Epoch 013: Train Loss: 0.9537 (TP, FP, TN, FN)=(3975, 6847, 10, 1), Val Loss: 0.9720 (TP, FP, TN, FN)=(442, 745, 1, 2)
Epoch 014: Train Loss: 0.7629 (TP, FP, TN, FN)=(3325, 5978, 879, 651), Val Loss: 0.7862 (TP, FP, TN, FN)=(383, 653, 93, 61)
Epoch 015: Train Loss: 0.7040 (TP, FP, TN, FN)=(1412, 2841, 4016, 2564), Val Loss: 0.7481 (TP, FP, TN, FN)=(156, 305, 441, 288)
Epoch 016: Train Loss: 0.7445 (TP, FP, TN, FN)=(441, 869, 5988, 3535), Val Loss: 0.8132 (TP, FP, TN, FN)=(46, 104, 642, 398)
Epoch 017: Train Loss: 0.8024 (TP, FP, TN, FN)=(142, 282, 6575, 3834), Val Loss: 0.8863 (TP, FP, TN, FN)=(15, 29, 717, 429)
Epoch 018: Train Loss: 0.8200 (TP, FP, TN, FN)=(76, 144, 6713, 3900), Val Loss: 0.9073 (TP, FP, TN, FN)=(7, 14, 732, 437)
Epoch 019: Train Loss: 0.7954 (TP, FP, TN, FN)=(76, 144, 6713, 3900), Val Loss: 0.8770 (TP, FP, TN, FN)=(6, 14, 732, 438)
Epoch 020: Train Loss: 0.7507 (TP, FP, TN, FN)=(145, 262, 6595, 3831), Val Loss: 0.8180 (TP, FP, TN, FN)=(14, 22, 724, 430)
Epoch 021: Train Loss: 0.7091 (TP, FP, TN, FN)=(405, 715, 6142, 3571), Val Loss: 0.7438 (TP, FP, TN, FN)=(50, 83, 663, 394)
Epoch 022: Train Loss: 0.6862 (TP, FP, TN, FN)=(1195, 2150, 4707, 2781), Val Loss: 0.7027 (TP, FP, TN, FN)=(132, 224, 522, 312)
Epoch 023: Train Loss: 0.6877 (TP, FP, TN, FN)=(2578, 4461, 2396, 1398), Val Loss: 0.7100 (TP, FP, TN, FN)=(280, 468, 278, 164)
Epoch 024: Train Loss: 0.7023 (TP, FP, TN, FN)=(3500, 6053, 804, 476), Val Loss: 0.7149 (TP, FP, TN, FN)=(405, 647, 99, 39)
Epoch 025: Train Loss: 0.7170 (TP, FP, TN, FN)=(3843, 6588, 269, 133), Val Loss: 0.7254 (TP, FP, TN, FN)=(427, 717, 29, 17)
Epoch 026: Train Loss: 0.7216 (TP, FP, TN, FN)=(3901, 6679, 178, 75), Val Loss: 0.7293 (TP, FP, TN, FN)=(433, 726, 20, 11)
Epoch 027: Train Loss: 0.7152 (TP, FP, TN, FN)=(3858, 6611, 246, 118), Val Loss: 0.7228 (TP, FP, TN, FN)=(431, 719, 27, 13)
Epoch 028: Train Loss: 0.7020 (TP, FP, TN, FN)=(3684, 6286, 571, 292), Val Loss: 0.7120 (TP, FP, TN, FN)=(420, 682, 64, 24)
Epoch 029: Train Loss: 0.6890 (TP, FP, TN, FN)=(3206, 5505, 1352, 770), Val Loss: 0.7032 (TP, FP, TN, FN)=(356, 588, 158, 88)
Epoch 030: Train Loss: 0.6805 (TP, FP, TN, FN)=(2393, 4067, 2790, 1583), Val Loss: 0.6988 (TP, FP, TN, FN)=(267, 430, 316, 177)
Epoch 031: Train Loss: 0.6779 (TP, FP, TN, FN)=(1471, 2468, 4389, 2505), Val Loss: 0.7002 (TP, FP, TN, FN)=(161, 276, 470, 283)
Epoch 032: Train Loss: 0.6799 (TP, FP, TN, FN)=(836, 1386, 5471, 3140), Val Loss: 0.7055 (TP, FP, TN, FN)=(92, 165, 581, 352)
Epoch 033: Train Loss: 0.6833 (TP, FP, TN, FN)=(557, 856, 6001, 3419), Val Loss: 0.7115 (TP, FP, TN, FN)=(61, 108, 638, 383)
Epoch 034: Train Loss: 0.6853 (TP, FP, TN, FN)=(436, 699, 6158, 3540), Val Loss: 0.7164 (TP, FP, TN, FN)=(48, 78, 668, 396)
Epoch 035: Train Loss: 0.6850 (TP, FP, TN, FN)=(431, 675, 6182, 3545), Val Loss: 0.7177 (TP, FP, TN, FN)=(47, 74, 672, 397)
Epoch 036: Train Loss: 0.6820 (TP, FP, TN, FN)=(487, 786, 6071, 3489), Val Loss: 0.7145 (TP, FP, TN, FN)=(52, 88, 658, 392)
Epoch 037: Train Loss: 0.6775 (TP, FP, TN, FN)=(629, 1049, 5808, 3347), Val Loss: 0.7071 (TP, FP, TN, FN)=(71, 119, 627, 373)
Epoch 038: Train Loss: 0.6732 (TP, FP, TN, FN)=(875, 1446, 5411, 3101), Val Loss: 0.7007 (TP, FP, TN, FN)=(101, 171, 575, 343)
Epoch 039: Train Loss: 0.6705 (TP, FP, TN, FN)=(1180, 2002, 4855, 2796), Val Loss: 0.6896 (TP, FP, TN, FN)=(133, 216, 530, 311)
Epoch 040: Train Loss: 0.6698 (TP, FP, TN, FN)=(1518, 2580, 4277, 2458), Val Loss: 0.6827 (TP, FP, TN, FN)=(174, 275, 471, 270)
Epoch 041: Train Loss: 0.6708 (TP, FP, TN, FN)=(1805, 3178, 3679, 2171), Val Loss: 0.6827 (TP, FP, TN, FN)=(205, 329, 417, 239)
Epoch 042: Train Loss: 0.6712 (TP, FP, TN, FN)=(2042, 3527, 3330, 1934), Val Loss: 0.6840 (TP, FP, TN, FN)=(219, 380, 366, 225)
Epoch 043: Train Loss: 0.6707 (TP, FP, TN, FN)=(2152, 3705, 3152, 1824), Val Loss: 0.6892 (TP, FP, TN, FN)=(229, 401, 345, 215)
Epoch 044: Train Loss: 0.6698 (TP, FP, TN, FN)=(2145, 3694, 3163, 1831), Val Loss: 0.6880 (TP, FP, TN, FN)=(230, 400, 346, 214)
Epoch 045: Train Loss: 0.6680 (TP, FP, TN, FN)=(2058, 3529, 3328, 1918), Val Loss: 0.6877 (TP, FP, TN, FN)=(220, 380, 366, 224)
Epoch 046: Train Loss: 0.6663 (TP, FP, TN, FN)=(1929, 3253, 3604, 2047), Val Loss: 0.6867 (TP, FP, TN, FN)=(214, 347, 399, 230)
