Epoch 037: Train Loss: 0.6885 (TP, FP, TN, FN)=(2553, 4573, 2284, 1423), Val Loss: 0.6991 (TP, FP, TN, FN)=(296, 500, 246, 148)
Epoch 038: Train Loss: 0.6875 (TP, FP, TN, FN)=(2648, 4692, 2165, 1328), Val Loss: 0.6991 (TP, FP, TN, FN)=(300, 515, 231, 144)
Epoch 039: Train Loss: 0.6848 (TP, FP, TN, FN)=(2601, 4544, 2313, 1375), Val Loss: 0.6970 (TP, FP, TN, FN)=(291, 505, 241, 153)
Epoch 040: Train Loss: 0.6819 (TP, FP, TN, FN)=(2221, 3740, 3117, 1755), Val Loss: 0.6948 (TP, FP, TN, FN)=(239, 417, 329, 205)
Epoch 041: Train Loss: 0.6806 (TP, FP, TN, FN)=(1995, 3286, 3571, 1981), Val Loss: 0.6944 (TP, FP, TN, FN)=(208, 360, 386, 236)
Epoch 042: Train Loss: 0.6809 (TP, FP, TN, FN)=(1901, 3097, 3760, 2075), Val Loss: 0.6967 (TP, FP, TN, FN)=(201, 344, 402, 243)
Epoch 043: Train Loss: 0.6812 (TP, FP, TN, FN)=(1932, 3198, 3659, 2044), Val Loss: 0.7008 (TP, FP, TN, FN)=(207, 350, 396, 237)
Epoch 044: Train Loss: 0.6802 (TP, FP, TN, FN)=(1992, 3349, 3508, 1984), Val Loss: 0.7060 (TP, FP, TN, FN)=(215, 366, 380, 229)
Epoch 045: Train Loss: 0.6790 (TP, FP, TN, FN)=(2080, 3500, 3357, 1896), Val Loss: 0.7043 (TP, FP, TN, FN)=(218, 380, 366, 226)
Epoch 046: Train Loss: 0.6799 (TP, FP, TN, FN)=(2208, 3747, 3110, 1768), Val Loss: 0.7041 (TP, FP, TN, FN)=(239, 419, 327, 205)
Epoch 047: Train Loss: 0.6784 (TP, FP, TN, FN)=(2080, 3491, 3366, 1896), Val Loss: 0.7023 (TP, FP, TN, FN)=(220, 383, 363, 224)
Epoch 048: Train Loss: 0.6782 (TP, FP, TN, FN)=(1991, 3322, 3535, 1985), Val Loss: 0.7014 (TP, FP, TN, FN)=(213, 366, 380, 231)
Epoch 049: Train Loss: 0.6768 (TP, FP, TN, FN)=(2058, 3460, 3397, 1918), Val Loss: 0.6993 (TP, FP, TN, FN)=(221, 383, 363, 223)
Epoch 050: Train Loss: 0.6764 (TP, FP, TN, FN)=(2190, 3683, 3174, 1786), Val Loss: 0.6985 (TP, FP, TN, FN)=(238, 419, 327, 206)
Epoch 051: Train Loss: 0.6761 (TP, FP, TN, FN)=(2227, 3729, 3128, 1749), Val Loss: 0.6980 (TP, FP, TN, FN)=(244, 421, 325, 200)
Epoch 052: Train Loss: 0.6757 (TP, FP, TN, FN)=(2176, 3617, 3240, 1800), Val Loss: 0.6990 (TP, FP, TN, FN)=(236, 400, 346, 208)
Epoch 053: Train Loss: 0.6756 (TP, FP, TN, FN)=(2125, 3518, 3339, 1851), Val Loss: 0.7007 (TP, FP, TN, FN)=(225, 387, 359, 219)
Epoch 054: Train Loss: 0.6749 (TP, FP, TN, FN)=(2156, 3568, 3289, 1820), Val Loss: 0.7007 (TP, FP, TN, FN)=(228, 392, 354, 216)
Epoch 055: Train Loss: 0.6741 (TP, FP, TN, FN)=(2179, 3614, 3243, 1797), Val Loss: 0.6997 (TP, FP, TN, FN)=(233, 406, 340, 211)
Epoch 056: Train Loss: 0.6738 (TP, FP, TN, FN)=(2151, 3569, 3288, 1825), Val Loss: 0.6986 (TP, FP, TN, FN)=(231, 405, 341, 213)
Epoch 057: Train Loss: 0.6736 (TP, FP, TN, FN)=(2101, 3455, 3402, 1875), Val Loss: 0.6976 (TP, FP, TN, FN)=(223, 390, 356, 221)
Epoch 058: Train Loss: 0.6732 (TP, FP, TN, FN)=(2055, 3348, 3509, 1921), Val Loss: 0.6975 (TP, FP, TN, FN)=(215, 381, 365, 229)
Epoch 059: Train Loss: 0.6727 (TP, FP, TN, FN)=(2107, 3430, 3427, 1869), Val Loss: 0.6983 (TP, FP, TN, FN)=(224, 387, 359, 220)
Epoch 060: Train Loss: 0.6721 (TP, FP, TN, FN)=(2213, 3641, 3216, 1763), Val Loss: 0.6987 (TP, FP, TN, FN)=(240, 409, 337, 204)
Epoch 061: Train Loss: 0.6718 (TP, FP, TN, FN)=(2298, 3779, 3078, 1678), Val Loss: 0.6993 (TP, FP, TN, FN)=(249, 423, 323, 195)
Epoch 062: Train Loss: 0.6714 (TP, FP, TN, FN)=(2272, 3711, 3146, 1704), Val Loss: 0.7000 (TP, FP, TN, FN)=(245, 414, 332, 199)
Epoch 063: Train Loss: 0.6711 (TP, FP, TN, FN)=(2286, 3677, 3180, 1690), Val Loss: 0.6992 (TP, FP, TN, FN)=(243, 408, 338, 201)
Epoch 064: Train Loss: 0.6708 (TP, FP, TN, FN)=(2367, 3821, 3036, 1609), Val Loss: 0.6983 (TP, FP, TN, FN)=(252, 428, 318, 192)
Epoch 065: Train Loss: 0.6703 (TP, FP, TN, FN)=(2309, 3701, 3156, 1667), Val Loss: 0.6986 (TP, FP, TN, FN)=(246, 413, 333, 198)
Epoch 066: Train Loss: 0.6700 (TP, FP, TN, FN)=(2202, 3497, 3360, 1774), Val Loss: 0.6996 (TP, FP, TN, FN)=(230, 389, 357, 214)
Epoch 067: Train Loss: 0.6694 (TP, FP, TN, FN)=(2240, 3590, 3267, 1736), Val Loss: 0.6996 (TP, FP, TN, FN)=(237, 400, 346, 207)
Epoch 068: Train Loss: 0.6691 (TP, FP, TN, FN)=(2231, 3556, 3301, 1745), Val Loss: 0.6997 (TP, FP, TN, FN)=(235, 400, 346, 209)
Epoch 069: Train Loss: 0.6687 (TP, FP, TN, FN)=(2147, 3384, 3473, 1829), Val Loss: 0.6998 (TP, FP, TN, FN)=(220, 383, 363, 224)
Epoch 070: Train Loss: 0.6682 (TP, FP, TN, FN)=(2181, 3446, 3411, 1795), Val Loss: 0.6986 (TP, FP, TN, FN)=(228, 392, 354, 216)
Epoch 071: Train Loss: 0.6678 (TP, FP, TN, FN)=(2206, 3469, 3388, 1770), Val Loss: 0.6971 (TP, FP, TN, FN)=(228, 393, 353, 216)
Epoch 072: Train Loss: 0.6675 (TP, FP, TN, FN)=(2123, 3292, 3565, 1853), Val Loss: 0.6959 (TP, FP, TN, FN)=(218, 373, 373, 226)
Epoch 073: Train Loss: 0.6670 (TP, FP, TN, FN)=(2228, 3486, 3371, 1748), Val Loss: 0.6952 (TP, FP, TN, FN)=(232, 390, 356, 212)
Epoch 074: Train Loss: 0.6666 (TP, FP, TN, FN)=(2253, 3497, 3360, 1723), Val Loss: 0.6954 (TP, FP, TN, FN)=(231, 392, 354, 213)
Epoch 075: Train Loss: 0.6662 (TP, FP, TN, FN)=(2222, 3436, 3421, 1754), Val Loss: 0.6958 (TP, FP, TN, FN)=(230, 384, 362, 214)
Epoch 076: Train Loss: 0.6659 (TP, FP, TN, FN)=(2310, 3607, 3250, 1666), Val Loss: 0.6952 (TP, FP, TN, FN)=(241, 398, 348, 203)
Epoch 077: Train Loss: 0.6657 (TP, FP, TN, FN)=(2094, 3225, 3632, 1882), Val Loss: 0.6958 (TP, FP, TN, FN)=(220, 361, 385, 224)
Epoch 078: Train Loss: 0.6656 (TP, FP, TN, FN)=(2340, 3686, 3171, 1636), Val Loss: 0.6961 (TP, FP, TN, FN)=(245, 410, 336, 199)
Epoch 079: Train Loss: 0.6647 (TP, FP, TN, FN)=(2065, 3187, 3670, 1911), Val Loss: 0.6961 (TP, FP, TN, FN)=(219, 356, 390, 225)
Epoch 080: Train Loss: 0.6638 (TP, FP, TN, FN)=(2189, 3370, 3487, 1787), Val Loss: 0.6945 (TP, FP, TN, FN)=(227, 374, 372, 217)
Epoch 081: Train Loss: 0.6640 (TP, FP, TN, FN)=(2368, 3702, 3155, 1608), Val Loss: 0.6937 (TP, FP, TN, FN)=(248, 404, 342, 196)
Epoch 082: Train Loss: 0.6637 (TP, FP, TN, FN)=(2077, 3154, 3703, 1899), Val Loss: 0.6933 (TP, FP, TN, FN)=(217, 346, 400, 227)
Epoch 083: Train Loss: 0.6627 (TP, FP, TN, FN)=(2295, 3501, 3356, 1681), Val Loss: 0.6926 (TP, FP, TN, FN)=(237, 386, 360, 207)
Epoch 084: Train Loss: 0.6622 (TP, FP, TN, FN)=(2319, 3565, 3292, 1657), Val Loss: 0.6937 (TP, FP, TN, FN)=(243, 389, 357, 201)
Epoch 085: Train Loss: 0.6624 (TP, FP, TN, FN)=(2128, 3207, 3650, 1848), Val Loss: 0.6959 (TP, FP, TN, FN)=(222, 360, 386, 222)
Epoch 086: Train Loss: 0.6621 (TP, FP, TN, FN)=(2427, 3772, 3085, 1549), Val Loss: 0.6948 (TP, FP, TN, FN)=(254, 404, 342, 190)
Epoch 087: Train Loss: 0.6611 (TP, FP, TN, FN)=(2205, 3322, 3535, 1771), Val Loss: 0.6936 (TP, FP, TN, FN)=(231, 366, 380, 213)
Epoch 088: Train Loss: 0.6606 (TP, FP, TN, FN)=(2240, 3390, 3467, 1736), Val Loss: 0.6935 (TP, FP, TN, FN)=(235, 370, 376, 209)
Epoch 089: Train Loss: 0.6605 (TP, FP, TN, FN)=(2429, 3708, 3149, 1547), Val Loss: 0.6938 (TP, FP, TN, FN)=(256, 398, 348, 188)
Epoch 090: Train Loss: 0.6608 (TP, FP, TN, FN)=(2190, 3269, 3588, 1786), Val Loss: 0.6953 (TP, FP, TN, FN)=(230, 354, 392, 214)
Epoch 091: Train Loss: 0.6612 (TP, FP, TN, FN)=(2581, 3898, 2959, 1395), Val Loss: 0.6943 (TP, FP, TN, FN)=(284, 426, 320, 160)
Epoch 092: Train Loss: 0.6607 (TP, FP, TN, FN)=(2133, 3161, 3696, 1843), Val Loss: 0.6952 (TP, FP, TN, FN)=(224, 340, 406, 220)
Epoch 093: Train Loss: 0.6596 (TP, FP, TN, FN)=(2517, 3783, 3074, 1459), Val Loss: 0.6928 (TP, FP, TN, FN)=(274, 408, 338, 170)
Epoch 094: Train Loss: 0.6587 (TP, FP, TN, FN)=(2379, 3551, 3306, 1597), Val Loss: 0.6922 (TP, FP, TN, FN)=(256, 379, 367, 188)
Epoch 095: Train Loss: 0.6593 (TP, FP, TN, FN)=(2161, 3198, 3659, 1815), Val Loss: 0.6933 (TP, FP, TN, FN)=(229, 345, 401, 215)
Epoch 096: Train Loss: 0.6585 (TP, FP, TN, FN)=(2501, 3722, 3135, 1475), Val Loss: 0.6922 (TP, FP, TN, FN)=(275, 404, 342, 169)
Epoch 097: Train Loss: 0.6580 (TP, FP, TN, FN)=(2464, 3648, 3209, 1512), Val Loss: 0.6922 (TP, FP, TN, FN)=(270, 390, 356, 174)
Epoch 098: Train Loss: 0.6583 (TP, FP, TN, FN)=(2236, 3281, 3576, 1740), Val Loss: 0.6936 (TP, FP, TN, FN)=(239, 349, 397, 205)
Epoch 099: Train Loss: 0.6575 (TP, FP, TN, FN)=(2514, 3724, 3133, 1462), Val Loss: 0.6932 (TP, FP, TN, FN)=(270, 402, 344, 174)
