Epoch 001: Train Loss: 3.7641 (TP, FP, TN, FN)=(4254, 7105, 31, 21), Val Loss: 4.0828 (TP, FP, TN, FN)=(439, 744, 2, 5), f1=0.5396
Epoch 002: Train Loss: 5.2915 (TP, FP, TN, FN)=(17, 20, 7042, 4003), Val Loss: 6.1624 (TP, FP, TN, FN)=(1, 1, 745, 443), f1=0.0045
Epoch 003: Train Loss: 4.3792 (TP, FP, TN, FN)=(17, 33, 7143, 4241), Val Loss: 5.0083 (TP, FP, TN, FN)=(0, 4, 742, 444), f1=0.0000
Epoch 004: Train Loss: 2.5774 (TP, FP, TN, FN)=(224, 346, 6580, 3793), Val Loss: 3.0341 (TP, FP, TN, FN)=(21, 44, 702, 423), f1=0.0825
Epoch 005: Train Loss: 1.2091 (TP, FP, TN, FN)=(2172, 3026, 3977, 1846), Val Loss: 1.4818 (TP, FP, TN, FN)=(230, 317, 429, 214), f1=0.4642
Epoch 006: Train Loss: 1.5183 (TP, FP, TN, FN)=(3942, 6810, 136, 61), Val Loss: 1.5802 (TP, FP, TN, FN)=(436, 736, 10, 8), f1=0.5396
Epoch 007: Train Loss: 1.8465 (TP, FP, TN, FN)=(3983, 6912, 1, 0), Val Loss: 1.8941 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 008: Train Loss: 1.5049 (TP, FP, TN, FN)=(3998, 6935, 17, 8), Val Loss: 1.5386 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 009: Train Loss: 1.0190 (TP, FP, TN, FN)=(3809, 6652, 349, 220), Val Loss: 1.0459 (TP, FP, TN, FN)=(413, 695, 51, 31), f1=0.5322
Epoch 010: Train Loss: 0.8204 (TP, FP, TN, FN)=(2045, 3703, 3528, 2217), Val Loss: 0.8183 (TP, FP, TN, FN)=(223, 390, 356, 221), f1=0.4219
Epoch 011: Train Loss: 0.9139 (TP, FP, TN, FN)=(221, 491, 6434, 3780), Val Loss: 0.9068 (TP, FP, TN, FN)=(34, 49, 697, 410), f1=0.1290
Epoch 012: Train Loss: 0.9849 (TP, FP, TN, FN)=(38, 115, 6843, 4007), Val Loss: 0.9377 (TP, FP, TN, FN)=(4, 7, 739, 440), f1=0.0176
Epoch 013: Train Loss: 0.9489 (TP, FP, TN, FN)=(25, 71, 7009, 4213), Val Loss: 0.9365 (TP, FP, TN, FN)=(1, 6, 740, 443), f1=0.0044
Epoch 014: Train Loss: 0.8793 (TP, FP, TN, FN)=(53, 117, 6886, 3957), Val Loss: 0.8914 (TP, FP, TN, FN)=(1, 11, 735, 443), f1=0.0044
Epoch 015: Train Loss: 0.8081 (TP, FP, TN, FN)=(145, 319, 6638, 3866), Val Loss: 0.8285 (TP, FP, TN, FN)=(10, 31, 715, 434), f1=0.0412
Epoch 016: Train Loss: 0.7441 (TP, FP, TN, FN)=(460, 919, 6102, 3555), Val Loss: 0.7634 (TP, FP, TN, FN)=(45, 93, 653, 399), f1=0.1546
Epoch 017: Train Loss: 0.7248 (TP, FP, TN, FN)=(1369, 2790, 4346, 2667), Val Loss: 0.7539 (TP, FP, TN, FN)=(157, 291, 455, 287), f1=0.3520
Epoch 018: Train Loss: 0.7433 (TP, FP, TN, FN)=(2371, 4757, 2346, 1677), Val Loss: 0.7866 (TP, FP, TN, FN)=(256, 488, 258, 188), f1=0.4310
Epoch 019: Train Loss: 0.7325 (TP, FP, TN, FN)=(2699, 4982, 2117, 1573), Val Loss: 0.7693 (TP, FP, TN, FN)=(279, 522, 224, 165), f1=0.4482
Epoch 020: Train Loss: 0.7130 (TP, FP, TN, FN)=(2413, 4530, 2459, 1640), Val Loss: 0.7428 (TP, FP, TN, FN)=(268, 485, 261, 176), f1=0.4478
Epoch 021: Train Loss: 0.7030 (TP, FP, TN, FN)=(2078, 3916, 3012, 1923), Val Loss: 0.7310 (TP, FP, TN, FN)=(237, 417, 329, 207), f1=0.4317
Epoch 022: Train Loss: 0.6956 (TP, FP, TN, FN)=(1794, 3266, 3674, 2229), Val Loss: 0.7231 (TP, FP, TN, FN)=(198, 332, 414, 246), f1=0.4066
Epoch 023: Train Loss: 0.6937 (TP, FP, TN, FN)=(1521, 2690, 4284, 2488), Val Loss: 0.7223 (TP, FP, TN, FN)=(160, 283, 463, 284), f1=0.3608
Epoch 024: Train Loss: 0.6924 (TP, FP, TN, FN)=(1321, 2250, 4704, 2681), Val Loss: 0.7250 (TP, FP, TN, FN)=(135, 236, 510, 309), f1=0.3313
Epoch 025: Train Loss: 0.6898 (TP, FP, TN, FN)=(1259, 2088, 4833, 2744), Val Loss: 0.7195 (TP, FP, TN, FN)=(125, 219, 527, 319), f1=0.3173
Epoch 026: Train Loss: 0.6863 (TP, FP, TN, FN)=(1333, 2155, 4864, 2893), Val Loss: 0.7090 (TP, FP, TN, FN)=(129, 232, 514, 315), f1=0.3205
Epoch 027: Train Loss: 0.6827 (TP, FP, TN, FN)=(1400, 2328, 4564, 2584), Val Loss: 0.6992 (TP, FP, TN, FN)=(145, 253, 493, 299), f1=0.3444
Epoch 028: Train Loss: 0.6806 (TP, FP, TN, FN)=(1561, 2672, 4272, 2437), Val Loss: 0.6901 (TP, FP, TN, FN)=(165, 284, 462, 279), f1=0.3695
Epoch 029: Train Loss: 0.6812 (TP, FP, TN, FN)=(1719, 3041, 4107, 2311), Val Loss: 0.6842 (TP, FP, TN, FN)=(190, 312, 434, 254), f1=0.4017
Epoch 030: Train Loss: 0.6829 (TP, FP, TN, FN)=(1818, 3178, 3721, 2173), Val Loss: 0.6809 (TP, FP, TN, FN)=(204, 329, 417, 240), f1=0.4176
Epoch 031: Train Loss: 0.6829 (TP, FP, TN, FN)=(1865, 3251, 3760, 2186), Val Loss: 0.6786 (TP, FP, TN, FN)=(203, 330, 416, 241), f1=0.4156
Epoch 032: Train Loss: 0.6800 (TP, FP, TN, FN)=(1779, 3078, 3910, 2230), Val Loss: 0.6763 (TP, FP, TN, FN)=(198, 319, 427, 246), f1=0.4121
