Epoch 001: Train Loss: 8.1552 (TP, FP, TN, FN)=(4297, 7568, 0, 0), Val Loss: 7.2635 (TP, FP, TN, FN)=(234, 375, 0, 0)
Epoch 002: Train Loss: 12.6699 (TP, FP, TN, FN)=(0, 0, 7568, 4297), Val Loss: 14.6004 (TP, FP, TN, FN)=(0, 0, 375, 234)
Epoch 003: Train Loss: 7.5255 (TP, FP, TN, FN)=(0, 0, 7568, 4297), Val Loss: 8.5261 (TP, FP, TN, FN)=(0, 0, 375, 234)
Epoch 004: Train Loss: 2.2064 (TP, FP, TN, FN)=(9, 7, 7561, 4288), Val Loss: 2.2436 (TP, FP, TN, FN)=(0, 0, 375, 234)
Epoch 005: Train Loss: 2.3537 (TP, FP, TN, FN)=(4287, 7529, 39, 10), Val Loss: 2.0441 (TP, FP, TN, FN)=(233, 374, 1, 1)
Epoch 006: Train Loss: 2.0858 (TP, FP, TN, FN)=(4295, 7555, 13, 2), Val Loss: 1.8969 (TP, FP, TN, FN)=(233, 375, 0, 1)
Epoch 007: Train Loss: 0.8695 (TP, FP, TN, FN)=(3725, 5967, 1601, 572), Val Loss: 0.7608 (TP, FP, TN, FN)=(211, 279, 96, 23)
Epoch 008: Train Loss: 0.9524 (TP, FP, TN, FN)=(17, 40, 7528, 4280), Val Loss: 0.9022 (TP, FP, TN, FN)=(4, 5, 370, 230)
Epoch 009: Train Loss: 1.2591 (TP, FP, TN, FN)=(1, 0, 7568, 4296), Val Loss: 1.2341 (TP, FP, TN, FN)=(0, 0, 375, 234)
Epoch 010: Train Loss: 1.2371 (TP, FP, TN, FN)=(2, 0, 7568, 4295), Val Loss: 1.2533 (TP, FP, TN, FN)=(0, 0, 375, 234)
Epoch 011: Train Loss: 1.0257 (TP, FP, TN, FN)=(5, 13, 7555, 4292), Val Loss: 1.0551 (TP, FP, TN, FN)=(0, 0, 375, 234)
Epoch 012: Train Loss: 0.7941 (TP, FP, TN, FN)=(111, 209, 7359, 4186), Val Loss: 0.8049 (TP, FP, TN, FN)=(5, 8, 367, 229)
Epoch 013: Train Loss: 0.7336 (TP, FP, TN, FN)=(1482, 2433, 5135, 2815), Val Loss: 0.7367 (TP, FP, TN, FN)=(89, 124, 251, 145)
Epoch 014: Train Loss: 0.8253 (TP, FP, TN, FN)=(3434, 5774, 1794, 863), Val Loss: 0.8216 (TP, FP, TN, FN)=(197, 283, 92, 37)
Epoch 015: Train Loss: 0.8992 (TP, FP, TN, FN)=(4087, 6987, 581, 210), Val Loss: 0.8964 (TP, FP, TN, FN)=(222, 345, 30, 12)
Epoch 016: Train Loss: 0.8763 (TP, FP, TN, FN)=(4069, 6986, 582, 228), Val Loss: 0.8797 (TP, FP, TN, FN)=(220, 339, 36, 14)
Epoch 017: Train Loss: 0.7972 (TP, FP, TN, FN)=(3253, 5577, 1991, 1044), Val Loss: 0.8033 (TP, FP, TN, FN)=(176, 276, 99, 58)
Epoch 018: Train Loss: 0.7239 (TP, FP, TN, FN)=(1980, 3385, 4183, 2317), Val Loss: 0.7283 (TP, FP, TN, FN)=(106, 164, 211, 128)
Epoch 019: Train Loss: 0.6942 (TP, FP, TN, FN)=(656, 1215, 6353, 3641), Val Loss: 0.7024 (TP, FP, TN, FN)=(36, 60, 315, 198)
Epoch 020: Train Loss: 0.7106 (TP, FP, TN, FN)=(182, 329, 7239, 4115), Val Loss: 0.7194 (TP, FP, TN, FN)=(10, 17, 358, 224)
Epoch 021: Train Loss: 0.7364 (TP, FP, TN, FN)=(79, 132, 7436, 4218), Val Loss: 0.7439 (TP, FP, TN, FN)=(7, 9, 366, 227)
Epoch 022: Train Loss: 0.7420 (TP, FP, TN, FN)=(63, 103, 7465, 4234), Val Loss: 0.7476 (TP, FP, TN, FN)=(4, 6, 369, 230)
Epoch 023: Train Loss: 0.7272 (TP, FP, TN, FN)=(67, 115, 7453, 4230), Val Loss: 0.7312 (TP, FP, TN, FN)=(4, 7, 368, 230)
Epoch 024: Train Loss: 0.7027 (TP, FP, TN, FN)=(101, 183, 7385, 4196), Val Loss: 0.7068 (TP, FP, TN, FN)=(6, 13, 362, 228)
Epoch 025: Train Loss: 0.6816 (TP, FP, TN, FN)=(232, 391, 7177, 4065), Val Loss: 0.6882 (TP, FP, TN, FN)=(13, 22, 353, 221)
Epoch 026: Train Loss: 0.6735 (TP, FP, TN, FN)=(532, 976, 6592, 3765), Val Loss: 0.6842 (TP, FP, TN, FN)=(26, 45, 330, 208)
Epoch 027: Train Loss: 0.6781 (TP, FP, TN, FN)=(1090, 2024, 5544, 3207), Val Loss: 0.6924 (TP, FP, TN, FN)=(52, 101, 274, 182)
Epoch 028: Train Loss: 0.6882 (TP, FP, TN, FN)=(1750, 3211, 4357, 2547), Val Loss: 0.7041 (TP, FP, TN, FN)=(82, 172, 203, 152)
Epoch 029: Train Loss: 0.6934 (TP, FP, TN, FN)=(2136, 3898, 3670, 2161), Val Loss: 0.7072 (TP, FP, TN, FN)=(103, 212, 163, 131)
Epoch 030: Train Loss: 0.6893 (TP, FP, TN, FN)=(2148, 3884, 3684, 2149), Val Loss: 0.6992 (TP, FP, TN, FN)=(104, 204, 171, 130)
Epoch 031: Train Loss: 0.6805 (TP, FP, TN, FN)=(1804, 3156, 4412, 2493), Val Loss: 0.6845 (TP, FP, TN, FN)=(86, 169, 206, 148)
Epoch 032: Train Loss: 0.6736 (TP, FP, TN, FN)=(1275, 2093, 5475, 3022), Val Loss: 0.6711 (TP, FP, TN, FN)=(59, 114, 261, 175)
Epoch 033: Train Loss: 0.6714 (TP, FP, TN, FN)=(725, 1149, 6419, 3572), Val Loss: 0.6645 (TP, FP, TN, FN)=(38, 57, 318, 196)
Epoch 034: Train Loss: 0.6732 (TP, FP, TN, FN)=(387, 577, 6991, 3910), Val Loss: 0.6636 (TP, FP, TN, FN)=(16, 28, 347, 218)
Epoch 035: Train Loss: 0.6759 (TP, FP, TN, FN)=(209, 317, 7251, 4088), Val Loss: 0.6653 (TP, FP, TN, FN)=(6, 13, 362, 228)
Epoch 036: Train Loss: 0.6776 (TP, FP, TN, FN)=(148, 210, 7358, 4149), Val Loss: 0.6674 (TP, FP, TN, FN)=(4, 9, 366, 230)
Epoch 037: Train Loss: 0.6771 (TP, FP, TN, FN)=(138, 199, 7369, 4159), Val Loss: 0.6687 (TP, FP, TN, FN)=(3, 9, 366, 231)
Epoch 038: Train Loss: 0.6741 (TP, FP, TN, FN)=(164, 246, 7322, 4133), Val Loss: 0.6690 (TP, FP, TN, FN)=(5, 10, 365, 229)
Epoch 039: Train Loss: 0.6694 (TP, FP, TN, FN)=(260, 402, 7166, 4037), Val Loss: 0.6691 (TP, FP, TN, FN)=(11, 20, 355, 223)
Epoch 040: Train Loss: 0.6655 (TP, FP, TN, FN)=(436, 706, 6862, 3861), Val Loss: 0.6714 (TP, FP, TN, FN)=(22, 36, 339, 212)
Epoch 041: Train Loss: 0.6646 (TP, FP, TN, FN)=(686, 1176, 6392, 3611), Val Loss: 0.6780 (TP, FP, TN, FN)=(29, 59, 316, 205)
Epoch 042: Train Loss: 0.6671 (TP, FP, TN, FN)=(925, 1705, 5863, 3372), Val Loss: 0.6865 (TP, FP, TN, FN)=(38, 81, 294, 196)
Epoch 043: Train Loss: 0.6697 (TP, FP, TN, FN)=(1044, 2009, 5559, 3253), Val Loss: 0.6921 (TP, FP, TN, FN)=(43, 97, 278, 191)
Epoch 044: Train Loss: 0.6684 (TP, FP, TN, FN)=(991, 1884, 5684, 3306), Val Loss: 0.6909 (TP, FP, TN, FN)=(40, 89, 286, 194)
Epoch 045: Train Loss: 0.6646 (TP, FP, TN, FN)=(816, 1435, 6133, 3481), Val Loss: 0.6846 (TP, FP, TN, FN)=(37, 70, 305, 197)
Epoch 046: Train Loss: 0.6625 (TP, FP, TN, FN)=(584, 1004, 6564, 3713), Val Loss: 0.6781 (TP, FP, TN, FN)=(26, 50, 325, 208)
Epoch 047: Train Loss: 0.6629 (TP, FP, TN, FN)=(410, 676, 6892, 3887), Val Loss: 0.6743 (TP, FP, TN, FN)=(21, 40, 335, 213)
Epoch 048: Train Loss: 0.6642 (TP, FP, TN, FN)=(329, 544, 7024, 3968), Val Loss: 0.6731 (TP, FP, TN, FN)=(17, 28, 347, 217)
Epoch 049: Train Loss: 0.6648 (TP, FP, TN, FN)=(312, 495, 7073, 3985), Val Loss: 0.6726 (TP, FP, TN, FN)=(17, 25, 350, 217)
Epoch 050: Train Loss: 0.6641 (TP, FP, TN, FN)=(335, 536, 7032, 3962), Val Loss: 0.6714 (TP, FP, TN, FN)=(18, 28, 347, 216)
Epoch 051: Train Loss: 0.6625 (TP, FP, TN, FN)=(416, 675, 6893, 3881), Val Loss: 0.6709 (TP, FP, TN, FN)=(21, 32, 343, 213)
Epoch 052: Train Loss: 0.6612 (TP, FP, TN, FN)=(537, 851, 6717, 3760), Val Loss: 0.6721 (TP, FP, TN, FN)=(24, 44, 331, 210)
Epoch 053: Train Loss: 0.6605 (TP, FP, TN, FN)=(660, 1096, 6472, 3637), Val Loss: 0.6758 (TP, FP, TN, FN)=(34, 58, 317, 200)
Epoch 054: Train Loss: 0.6608 (TP, FP, TN, FN)=(769, 1316, 6252, 3528), Val Loss: 0.6808 (TP, FP, TN, FN)=(35, 63, 312, 199)
Epoch 055: Train Loss: 0.6612 (TP, FP, TN, FN)=(809, 1395, 6173, 3488), Val Loss: 0.6837 (TP, FP, TN, FN)=(37, 66, 309, 197)
Epoch 056: Train Loss: 0.6605 (TP, FP, TN, FN)=(769, 1334, 6234, 3528), Val Loss: 0.6826 (TP, FP, TN, FN)=(37, 63, 312, 197)
Epoch 057: Train Loss: 0.6594 (TP, FP, TN, FN)=(687, 1132, 6436, 3610), Val Loss: 0.6791 (TP, FP, TN, FN)=(33, 56, 319, 201)
Epoch 058: Train Loss: 0.6589 (TP, FP, TN, FN)=(598, 913, 6655, 3699), Val Loss: 0.6757 (TP, FP, TN, FN)=(31, 50, 325, 203)
Epoch 059: Train Loss: 0.6588 (TP, FP, TN, FN)=(522, 799, 6769, 3775), Val Loss: 0.6733 (TP, FP, TN, FN)=(27, 42, 333, 207)
Epoch 060: Train Loss: 0.6587 (TP, FP, TN, FN)=(499, 746, 6822, 3798), Val Loss: 0.6713 (TP, FP, TN, FN)=(25, 42, 333, 209)
Epoch 061: Train Loss: 0.6585 (TP, FP, TN, FN)=(527, 770, 6798, 3770), Val Loss: 0.6695 (TP, FP, TN, FN)=(29, 44, 331, 205)
