tile_center_lon,tile_center_lat,tile_pop,nodes_count,avg_dist_m,max_dist_m,sample_node_ids
15.4777777779349783,47.0322222222026625,4.645459175109863,10,111.214,132.488,"(364380366, 20921176, 0);(1052226043, 20929475, 0);(1052226043, 20921176, 0);(20921176, 20929475, 0);(20929475, 20921176, 0)"
15.4680555557127484,47.1194444444249569,4.645459175109863,8,127.107,141.837,"(2417446594, 3821400571, 0);(2417446594, 2417446586, 0);(3821400571, 2417446594, 0);(3821400571, 2417446586, 0);(2417446586, 3821400571, 0)"
15.4866666668238739,47.1172222222027344,4.645459175109863,6,158.886,163.923,"(327706038, 293465865, 0);(327706038, 1141957810, 0);(293465865, 327706038, 0);(293465865, 1141957810, 0);(1141957810, 293465865, 0)"
15.3794444446015639,47.1122222222027318,4.645459175109863,2,323.041,323.041,"(28887354, 12463679640, 0);(12463679640, 28887354, 0)"
15.3636111112682201,47.0380555555360047,1.0346920490264893,2,292.183,292.183,"(301210900, 567979205, 0);(567979205, 301210900, 0)"
15.3633333334904414,47.0402777777582273,1.0346920490264893,2,265.896,265.896,"(327531979, 567979205, 0);(567979205, 327531979, 0)"
15.4816666668238696,47.034444444424885,4.645459175109863,6,81.916,103.169,"(1240703420, 5041762245, 0);(35128805, 268656528, 0);(268656528, 35128805, 0);(5041762249, 1240703420, 0);(5041762245, 5041762249, 0)"
15.4800000001572009,47.1172222222027344,4.645459175109863,2,236.828,236.828,"(327686301, 293465865, 0);(293465865, 327686301, 0)"
15.3866666668237926,47.041388888869335,4.645459175109863,2,215.739,215.739,"(35292185, 270190853, 0);(270190853, 35292185, 0)"
15.3866666668237926,47.108333333313837,4.645459175109863,2,185.389,209.559,"(21100088, 224112669, 0);(243190971, 21140939, 0)"
15.3802777779349,47.0563888888693498,4.645459175109863,2,181.503,181.503,"(2561293973, 1321508053, 0);(1321508053, 2561293973, 0)"
15.4075000001571425,47.0611111110915772,4.645459175109863,4,88.378,115.514,"(11595954759, 11591820630, 0);(9419054659, 11591820630, 0);(11591820630, 9419054659, 0);(11591820630, 11595954759, 0)"
15.3716666668237814,47.0322222222026625,4.645459175109863,2,174.423,174.423,"(270330941, 301210900, 0);(301210900, 270330941, 0)"
15.4969444446016595,47.0977777777582745,4.645459175109863,2,173.984,173.984,"(335649929, 266037693, 0);(266037693, 335649929, 0)"
15.4794444446016453,47.034444444424885,4.645459175109863,4,85.797,88.663,"(20824610, 1240703420, 0);(1240703420, 20824610, 0);(35127834, 35767520, 0);(35767520, 35127834, 0)"
15.3741666668237826,47.1122222222027318,4.645459175109863,3,111.522,171.720,"(224112669, 224112678, 0);(21141023, 243190971, 0);(89459296, 243190971, 0)"
15.3747222223793401,47.052499999980455,4.645459175109863,2,166.068,166.068,"(2561293973, 1242133525, 0);(1242133525, 2561293973, 0)"
15.448055555712731,47.1088888888693944,4.645459175109863,2,165.065,165.065,"(21424406, 2023870664, 0);(2023870664, 21424406, 0)"
15.4947222223794352,47.0422222222026747,4.645459175109863,2,158.749,158.749,"(304628646, 25704333, 0);(25704333, 304628646, 0)"
15.5180555557127882,47.1033333333138344,4.645459175109863,2,153.792,153.792,"(266014116, 334652751, 0);(334652751, 266014116, 0)"
15.5147222223794508,47.1136111110916147,4.645459175109863,2,151.924,151.924,"(266037706, 273476696, 0);(273476696, 266037706, 0)"
15.37750000015712,47.0952777777582696,4.645459175109863,2,145.760,145.760,"(326076166, 1411544350, 0);(1411544350, 326076166, 0)"
15.381944444601567,47.0605555555360198,4.645459175109863,2,139.577,139.577,"(5122478770, 272502361, 0);(272502361, 5122478770, 0)"
15.5208333334905682,47.1205555555360718,4.645459175109863,2,135.511,135.511,"(273476696, 4464999327, 0);(4464999327, 273476696, 0)"
15.3725000001571139,47.0313888888693299,4.645459175109863,2,133.644,133.644,"(301210900, 1001135503, 0);(1001135503, 301210900, 0)"
15.4994444446016608,47.1047222222027244,4.645459175109863,2,132.507,132.507,"(266037706, 266037693, 0);(266037693, 266037706, 0)"
15.4555555557127384,47.1247222222027347,4.645459175109863,2,132.442,132.442,"(615543089, 3821400571, 0);(3821400571, 615543089, 0)"
15.5272222223794607,47.1066666666471647,4.645459175109863,2,132.043,132.043,"(266014116, 327738957, 0);(327738957, 266014116, 0)"
15.3786111112682313,47.0730555555360297,1.2247639894485474,2,131.561,131.561,"(271777260, 606954232, 0);(606954232, 271777260, 0)"
15.4686111112683022,47.1194444444249569,4.645459175109863,2,130.270,130.270,"(327774497, 2417446594, 0);(2417446594, 327774497, 0)"
15.467500000157191,47.112499999980507,4.645459175109863,2,125.689,125.689,"(327688768, 1805351000, 0);(1805351000, 327688768, 0)"
15.3902777779349069,47.1108333333138347,4.645459175109863,2,122.152,122.152,"(327684776, 327684785, 0);(327684785, 327684776, 0)"
15.4583333334905184,47.1080555555360547,4.645459175109863,2,119.526,119.526,"(21424386, 2051173812, 0);(2051173812, 21424386, 0)"
15.4900000001572096,47.1211111110916221,4.645459175109863,2,118.093,118.093,"(1141957810, 1707425759, 0);(1707425759, 1141957810, 0)"
15.4722222223794184,47.0302777777582151,4.645459175109863,2,116.909,116.909,"(35129132, 4071322998, 0);(4071322998, 35129132, 0)"
15.4688888890460809,47.1188888888693995,4.645459175109863,2,112.883,112.883,"(327688768, 327774497, 0);(327774497, 327688768, 0)"
15.4083333334904768,47.1088888888693944,4.645459175109863,2,112.015,112.015,"(82687995, 1244504045, 0);(1244504045, 82687995, 0)"
15.4402777779349485,47.1211111110916221,4.645459175109863,2,111.302,111.302,"(195878366, 195878370, 0);(195878370, 195878366, 0)"
15.4419444446016154,47.0763888888693671,4.645459175109863,2,104.965,104.965,"(20929491, 991630242, 0);(991630242, 20929491, 0)"
15.483888889046094,47.0258333333137699,4.645459175109863,3,65.420,66.275,"(268656637, 1479199335, 0);(1479199335, 268656637, 0);(1479199335, 616815645, 0)"
15.4255555557127124,47.0305555555359973,4.645459175109863,4,48.498,51.182,"(1027914566, 1027914558, 0);(1027914566, 1027914394, 0);(20959684, 20832644, 0);(1027914513, 20959644, 0)"
15.4413888890460598,47.1136111110916147,4.645459175109863,2,96.868,96.868,"(268887730, 1380906493, 0);(1380906493, 268887730, 0)"
15.4997222223794395,47.0666666666471372,4.645459175109863,2,96.536,96.536,"(80173071, 35293126, 0);(35293126, 80173071, 0)"
15.4136111112682599,47.0324999999804447,4.645459175109863,3,64.312,72.230,"(20959678, 1304229493, 0);(21486675, 20959678, 0);(26756648, 1304229493, 0)"
15.3950000001571325,47.1099999999805021,4.645459175109863,2,94.768,94.768,"(20929515, 327689715, 0);(327689715, 20929515, 0)"
15.4850000001572052,47.0258333333137699,4.645459175109863,4,47.226,49.785,"(21099968, 7313987609, 0);(21099968, 7313987607, 0);(7313987607, 21099968, 0);(7313987607, 7313987609, 0)"
15.3802777779349,47.0272222222026599,4.645459175109863,2,90.399,90.399,"(270331069, 338556390, 0);(338556390, 270331069, 0)"
