node_id,center_lon,center_lat,tile_center_lon,tile_center_lat,tile_distance_m,assigned_by,pop_density,raw_tile_pop
"(35126490, 1052226102, 0)",15.477813981386536,47.034201032649875,15.4777777779349783,47.0349999999804425,88.88347081380627,nearest|too_far,0.0,4.645459175109863
"(20824610, 1240703420, 0)",15.480551582056778,47.03470214013402,15.4794444446016453,47.034444444424885,88.66314375565362,nearest|too_far,0.0,4.645459175109863
"(1240703420, 20824610, 0)",15.480551582056776,47.034702140134016,15.4794444446016453,47.034444444424885,88.66314375542505,nearest|too_far,0.0,4.645459175109863
"(1240703420, 5041762245, 0)",15.481613723352993,47.03521003477486,15.4816666668238696,47.034444444424885,85.22426513036507,nearest|too_far,0.0,4.645459175109863
"(364380366, 20921176, 0)",15.477588747712709,47.03324630893656,15.4777777779349783,47.0322222222026625,114.77089824335503,nearest|too_far,0.0,4.645459175109863
"(20832687, 1027914394, 0)",15.426108438335877,47.03098369347344,15.4255555557127124,47.0313888888693299,61.52962844945516,nearest,4.645459175109863,4.645459175109863
"(20832644, 1984063881, 0)",15.421561608948858,47.032148421960514,15.4213888890460424,47.0327777777582199,71.19492986627984,nearest,4.645459175109863,4.645459175109863
"(205294016, 1362923206, 0)",15.411300527119428,47.035325404198666,15.4116666668238125,47.035833333313775,62.92713067887113,nearest,4.645459175109863,4.645459175109863
"(20929470, 20929468, 0)",15.480904687082209,47.02935801651102,15.4816666668238696,47.0286111110915499,101.15869543459266,nearest|too_far,0.0,4.645459175109863
"(1052226043, 20929475, 0)",15.476672604275771,47.03263296594219,15.4777777779349783,47.0322222222026625,95.40269879147324,nearest|too_far,0.0,4.645459175109863
"(1052226043, 20921176, 0)",15.476920135189854,47.032769830758646,15.4777777779349783,47.0322222222026625,89.06566478395786,nearest|too_far,0.0,4.645459175109863
"(20921176, 20929475, 0)",15.476768157503948,47.03284483458534,15.4777777779349783,47.0322222222026625,103.18883034100257,nearest|too_far,0.0,4.645459175109863
"(20929475, 20921176, 0)",15.476768157503948,47.03284483458534,15.4777777779349783,47.0322222222026625,103.18883034100257,nearest|too_far,0.0,4.645459175109863
"(20929475, 35129132, 0)",15.476084547202067,47.03251845594113,15.4777777779349783,47.0322222222026625,132.48803647570742,nearest|too_far,0.0,4.645459175109863
"(20929475, 20929474, 0)",15.476541551234359,47.03256335940697,15.4777777779349783,47.0322222222026625,101.07967773390158,nearest|too_far,0.0,4.645459175109863
"(20921176, 364380366, 0)",15.477588747712709,47.03324630893656,15.4777777779349783,47.0322222222026625,114.77089824335503,nearest|too_far,0.0,4.645459175109863
"(20921204, 20921210, 0)",15.471073468105375,47.038618394354515,15.4702777779349709,47.038611111091555,60.30278585175849,nearest,4.645459175109863,4.645459175109863
"(20929468, 268656638, 0)",15.482861700000003,47.02690955,15.4819444446016483,47.0274999999804351,95.62546124080694,nearest|too_far,0.0,4.645459175109863
"(20929468, 21099885, 0)",15.482697681590532,47.0262812742276,15.4822222223794252,47.0255555555359948,88.3780547657173,nearest|too_far,0.0,4.645459175109863
"(35129132, 20929474, 0)",15.47614457258892,47.032418690581224,15.4777777779349783,47.0322222222026625,125.69188170328218,nearest|too_far,0.0,4.645459175109863
"(35129132, 20929475, 0)",15.476084547202067,47.03251845594113,15.4777777779349783,47.0322222222026625,132.48803647570742,nearest|too_far,0.0,4.645459175109863
"(35129132, 4071322998, 0)",15.472083765405483,47.03132492247552,15.4722222223794184,47.0302777777582151,116.90909570062348,nearest|too_far,0.0,4.645459175109863
"(20929478, 21140896, 0)",15.459688489600628,47.06889653209987,15.4597222223794084,47.0694444444249172,60.978613230691174,nearest,2.3227295875549316,4.645459175109863
"(21140896, 20929478, 0)",15.459688489600627,47.068896532099856,15.4597222223794084,47.0694444444249172,60.97861323281127,nearest,2.3227295875549316,4.645459175109863
"(20929485, 21261046, 0)",15.446318614889652,47.0721632224324,15.4475000001571754,47.0722222222026971,89.70914856344794,nearest|too_far,0.0,4.645459175109863
"(21261046, 20929485, 0)",15.446318614889654,47.072163222432415,15.4475000001571754,47.0722222222026971,89.70914856334446,nearest|too_far,0.0,4.645459175109863
"(21099611, 21261046, 0)",15.44608632356447,47.072906805784136,15.4472222223793985,47.0736111110915871,116.3319620982738,nearest|too_far,0.0,4.645459175109863
"(20929491, 991630242, 0)",15.442579472993602,47.07722797313796,15.4419444446016154,47.0763888888693671,104.96522358584396,nearest|too_far,0.0,4.645459175109863
"(991630242, 20929491, 0)",15.442579472993602,47.07722797313796,15.4419444446016154,47.0763888888693671,104.96522358584396,nearest|too_far,0.0,4.645459175109863
"(82687995, 1244504045, 0)",15.40901448526442,47.10799452891017,15.4083333334904768,47.1088888888693944,112.01504224244657,nearest|too_far,0.0,4.645459175109863
"(20929515, 327689715, 0)",15.39522089239068,47.10916109199434,15.3950000001571325,47.1099999999805021,94.76837668610156,nearest|too_far,0.0,4.645459175109863
"(327689715, 20929515, 0)",15.395220892390679,47.10916109199432,15.3950000001571325,47.1099999999805021,94.76837668819026,nearest|too_far,0.0,4.645459175109863
"(20959645, 20959652, 0)",15.426525288796034,47.030329798885596,15.4263888890460485,47.0297222222026647,68.34583659847861,nearest,0.46454591751098634,4.645459175109863
"(20959678, 1304229493, 0)",15.413136100000001,47.033063150000004,15.4136111112682599,47.0324999999804447,72.23026304219916,nearest,1.5484863917032878,4.645459175109863
"(20959678, 20832696, 0)",15.413041333580294,47.03325208149827,15.4130555557127025,47.0338888888693347,70.81795189461832,nearest,2.3227295875549316,4.645459175109863
