Epoch 001: Train Loss: 3.4053 (TP, FP, TN, FN)=(1, 4, 6853, 3975), Val Loss: 4.5244 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 002: Train Loss: 8.6750 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 8.9566 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 003: Train Loss: 6.2988 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 6.5317 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 004: Train Loss: 2.6108 (TP, FP, TN, FN)=(3940, 6791, 66, 36), Val Loss: 2.9298 (TP, FP, TN, FN)=(438, 735, 11, 6)
Epoch 005: Train Loss: 1.3670 (TP, FP, TN, FN)=(1000, 1494, 5363, 2976), Val Loss: 1.8160 (TP, FP, TN, FN)=(115, 181, 565, 329)
Epoch 006: Train Loss: 2.4794 (TP, FP, TN, FN)=(8, 12, 6845, 3968), Val Loss: 3.1264 (TP, FP, TN, FN)=(1, 1, 745, 443)
Epoch 007: Train Loss: 2.3595 (TP, FP, TN, FN)=(4, 7, 6850, 3972), Val Loss: 2.9505 (TP, FP, TN, FN)=(1, 0, 746, 443)
Epoch 008: Train Loss: 1.4374 (TP, FP, TN, FN)=(54, 85, 6772, 3922), Val Loss: 1.9812 (TP, FP, TN, FN)=(3, 9, 737, 441)
Epoch 009: Train Loss: 0.8454 (TP, FP, TN, FN)=(1315, 2412, 4445, 2661), Val Loss: 1.1431 (TP, FP, TN, FN)=(141, 279, 467, 303)
Epoch 010: Train Loss: 1.0214 (TP, FP, TN, FN)=(3869, 6675, 182, 107), Val Loss: 1.2130 (TP, FP, TN, FN)=(429, 715, 31, 15)
Epoch 011: Train Loss: 1.2139 (TP, FP, TN, FN)=(3953, 6816, 41, 23), Val Loss: 1.3662 (TP, FP, TN, FN)=(440, 734, 12, 4)
Epoch 012: Train Loss: 1.1264 (TP, FP, TN, FN)=(3953, 6815, 42, 23), Val Loss: 1.2559 (TP, FP, TN, FN)=(438, 735, 11, 6)
Epoch 013: Train Loss: 0.9063 (TP, FP, TN, FN)=(3801, 6622, 235, 175), Val Loss: 1.0206 (TP, FP, TN, FN)=(425, 711, 35, 19)
Epoch 014: Train Loss: 0.7586 (TP, FP, TN, FN)=(2238, 4406, 2451, 1738), Val Loss: 0.8580 (TP, FP, TN, FN)=(246, 477, 269, 198)
Epoch 015: Train Loss: 0.7605 (TP, FP, TN, FN)=(720, 1552, 5305, 3256), Val Loss: 0.8582 (TP, FP, TN, FN)=(77, 173, 573, 367)
Epoch 016: Train Loss: 0.8279 (TP, FP, TN, FN)=(194, 397, 6460, 3782), Val Loss: 0.9358 (TP, FP, TN, FN)=(23, 40, 706, 421)
Epoch 017: Train Loss: 0.8632 (TP, FP, TN, FN)=(98, 188, 6669, 3878), Val Loss: 0.9691 (TP, FP, TN, FN)=(8, 24, 722, 436)
Epoch 018: Train Loss: 0.8453 (TP, FP, TN, FN)=(93, 167, 6690, 3883), Val Loss: 0.9739 (TP, FP, TN, FN)=(7, 25, 721, 437)
Epoch 019: Train Loss: 0.7943 (TP, FP, TN, FN)=(169, 294, 6563, 3807), Val Loss: 0.9295 (TP, FP, TN, FN)=(19, 32, 714, 425)
Epoch 020: Train Loss: 0.7436 (TP, FP, TN, FN)=(369, 748, 6109, 3607), Val Loss: 0.8616 (TP, FP, TN, FN)=(40, 77, 669, 404)
Epoch 021: Train Loss: 0.7140 (TP, FP, TN, FN)=(966, 1939, 4918, 3010), Val Loss: 0.8148 (TP, FP, TN, FN)=(112, 211, 535, 332)
Epoch 022: Train Loss: 0.7120 (TP, FP, TN, FN)=(2113, 3899, 2958, 1863), Val Loss: 0.8007 (TP, FP, TN, FN)=(232, 413, 333, 212)
Epoch 023: Train Loss: 0.7260 (TP, FP, TN, FN)=(3277, 5750, 1107, 699), Val Loss: 0.8039 (TP, FP, TN, FN)=(370, 606, 140, 74)
Epoch 024: Train Loss: 0.7395 (TP, FP, TN, FN)=(3755, 6490, 367, 221), Val Loss: 0.8127 (TP, FP, TN, FN)=(419, 683, 63, 25)
Epoch 025: Train Loss: 0.7424 (TP, FP, TN, FN)=(3861, 6605, 252, 115), Val Loss: 0.8133 (TP, FP, TN, FN)=(426, 711, 35, 18)
Epoch 026: Train Loss: 0.7340 (TP, FP, TN, FN)=(3833, 6549, 308, 143), Val Loss: 0.8053 (TP, FP, TN, FN)=(422, 707, 39, 22)
Epoch 027: Train Loss: 0.7195 (TP, FP, TN, FN)=(3693, 6200, 657, 283), Val Loss: 0.7936 (TP, FP, TN, FN)=(412, 656, 90, 32)
Epoch 028: Train Loss: 0.7054 (TP, FP, TN, FN)=(3331, 5445, 1412, 645), Val Loss: 0.7850 (TP, FP, TN, FN)=(371, 566, 180, 73)
Epoch 029: Train Loss: 0.6977 (TP, FP, TN, FN)=(2642, 4179, 2678, 1334), Val Loss: 0.7827 (TP, FP, TN, FN)=(294, 415, 331, 150)
Epoch 030: Train Loss: 0.6960 (TP, FP, TN, FN)=(1783, 2809, 4048, 2193), Val Loss: 0.7855 (TP, FP, TN, FN)=(201, 284, 462, 243)
Epoch 031: Train Loss: 0.6968 (TP, FP, TN, FN)=(1173, 1797, 5060, 2803), Val Loss: 0.7888 (TP, FP, TN, FN)=(121, 205, 541, 323)
Epoch 032: Train Loss: 0.6973 (TP, FP, TN, FN)=(824, 1241, 5616, 3152), Val Loss: 0.7884 (TP, FP, TN, FN)=(77, 152, 594, 367)
Epoch 033: Train Loss: 0.6963 (TP, FP, TN, FN)=(681, 1044, 5813, 3295), Val Loss: 0.7807 (TP, FP, TN, FN)=(58, 119, 627, 386)
Epoch 034: Train Loss: 0.6932 (TP, FP, TN, FN)=(678, 1020, 5837, 3298), Val Loss: 0.7725 (TP, FP, TN, FN)=(60, 121, 625, 384)
Epoch 035: Train Loss: 0.6886 (TP, FP, TN, FN)=(746, 1136, 5721, 3230), Val Loss: 0.7605 (TP, FP, TN, FN)=(74, 136, 610, 370)
Epoch 036: Train Loss: 0.6846 (TP, FP, TN, FN)=(896, 1421, 5436, 3080), Val Loss: 0.7472 (TP, FP, TN, FN)=(91, 166, 580, 353)
Epoch 037: Train Loss: 0.6816 (TP, FP, TN, FN)=(1111, 1860, 4997, 2865), Val Loss: 0.7314 (TP, FP, TN, FN)=(109, 205, 541, 335)
Epoch 038: Train Loss: 0.6812 (TP, FP, TN, FN)=(1350, 2339, 4518, 2626), Val Loss: 0.7230 (TP, FP, TN, FN)=(145, 257, 489, 299)
Epoch 039: Train Loss: 0.6784 (TP, FP, TN, FN)=(1544, 2630, 4227, 2432), Val Loss: 0.7146 (TP, FP, TN, FN)=(161, 297, 449, 283)
Epoch 040: Train Loss: 0.6753 (TP, FP, TN, FN)=(1632, 2769, 4088, 2344), Val Loss: 0.7137 (TP, FP, TN, FN)=(171, 306, 440, 273)
Epoch 041: Train Loss: 0.6739 (TP, FP, TN, FN)=(1730, 2885, 3972, 2246), Val Loss: 0.7091 (TP, FP, TN, FN)=(185, 317, 429, 259)
Epoch 042: Train Loss: 0.6735 (TP, FP, TN, FN)=(1788, 2963, 3894, 2188), Val Loss: 0.7057 (TP, FP, TN, FN)=(196, 321, 425, 248)
Epoch 043: Train Loss: 0.6725 (TP, FP, TN, FN)=(1817, 3043, 3814, 2159), Val Loss: 0.6998 (TP, FP, TN, FN)=(200, 327, 419, 244)
Epoch 044: Train Loss: 0.6711 (TP, FP, TN, FN)=(1840, 3101, 3756, 2136), Val Loss: 0.6930 (TP, FP, TN, FN)=(206, 328, 418, 238)
Epoch 045: Train Loss: 0.6701 (TP, FP, TN, FN)=(1867, 3128, 3729, 2109), Val Loss: 0.6894 (TP, FP, TN, FN)=(210, 333, 413, 234)
Epoch 046: Train Loss: 0.6692 (TP, FP, TN, FN)=(1868, 3114, 3743, 2108), Val Loss: 0.6880 (TP, FP, TN, FN)=(203, 329, 417, 241)
Epoch 047: Train Loss: 0.6683 (TP, FP, TN, FN)=(1846, 3052, 3805, 2130), Val Loss: 0.6858 (TP, FP, TN, FN)=(201, 327, 419, 243)
Epoch 048: Train Loss: 0.6673 (TP, FP, TN, FN)=(1811, 2980, 3877, 2165), Val Loss: 0.6851 (TP, FP, TN, FN)=(200, 317, 429, 244)
Epoch 049: Train Loss: 0.6662 (TP, FP, TN, FN)=(1795, 2890, 3967, 2181), Val Loss: 0.6857 (TP, FP, TN, FN)=(201, 308, 438, 243)
Epoch 050: Train Loss: 0.6652 (TP, FP, TN, FN)=(1773, 2812, 4045, 2203), Val Loss: 0.6876 (TP, FP, TN, FN)=(194, 302, 444, 250)
Epoch 051: Train Loss: 0.6643 (TP, FP, TN, FN)=(1744, 2731, 4126, 2232), Val Loss: 0.6905 (TP, FP, TN, FN)=(188, 292, 454, 256)
Epoch 052: Train Loss: 0.6636 (TP, FP, TN, FN)=(1704, 2658, 4199, 2272), Val Loss: 0.6926 (TP, FP, TN, FN)=(181, 288, 458, 263)
Epoch 053: Train Loss: 0.6629 (TP, FP, TN, FN)=(1679, 2595, 4262, 2297), Val Loss: 0.6939 (TP, FP, TN, FN)=(178, 281, 465, 266)
Epoch 054: Train Loss: 0.6623 (TP, FP, TN, FN)=(1665, 2565, 4292, 2311), Val Loss: 0.6950 (TP, FP, TN, FN)=(175, 279, 467, 269)
Epoch 055: Train Loss: 0.6616 (TP, FP, TN, FN)=(1672, 2571, 4286, 2304), Val Loss: 0.6957 (TP, FP, TN, FN)=(175, 274, 472, 269)
Epoch 056: Train Loss: 0.6609 (TP, FP, TN, FN)=(1719, 2626, 4231, 2257), Val Loss: 0.6962 (TP, FP, TN, FN)=(184, 277, 469, 260)
Epoch 057: Train Loss: 0.6601 (TP, FP, TN, FN)=(1790, 2736, 4121, 2186), Val Loss: 0.6965 (TP, FP, TN, FN)=(191, 282, 464, 253)
Epoch 058: Train Loss: 0.6593 (TP, FP, TN, FN)=(1893, 2876, 3981, 2083), Val Loss: 0.6966 (TP, FP, TN, FN)=(204, 300, 446, 240)
Epoch 059: Train Loss: 0.6587 (TP, FP, TN, FN)=(1961, 2999, 3858, 2015), Val Loss: 0.6962 (TP, FP, TN, FN)=(213, 310, 436, 231)
Epoch 060: Train Loss: 0.6579 (TP, FP, TN, FN)=(1990, 3056, 3801, 1986), Val Loss: 0.6956 (TP, FP, TN, FN)=(212, 314, 432, 232)
Epoch 061: Train Loss: 0.6571 (TP, FP, TN, FN)=(1971, 3054, 3803, 2005), Val Loss: 0.6943 (TP, FP, TN, FN)=(210, 312, 434, 234)
Epoch 062: Train Loss: 0.6565 (TP, FP, TN, FN)=(1978, 3088, 3769, 1998), Val Loss: 0.6937 (TP, FP, TN, FN)=(213, 318, 428, 231)
Epoch 063: Train Loss: 0.6558 (TP, FP, TN, FN)=(1986, 3102, 3755, 1990), Val Loss: 0.6928 (TP, FP, TN, FN)=(212, 319, 427, 232)
Epoch 064: Train Loss: 0.6552 (TP, FP, TN, FN)=(2014, 3138, 3719, 1962), Val Loss: 0.6923 (TP, FP, TN, FN)=(215, 320, 426, 229)
Epoch 065: Train Loss: 0.6545 (TP, FP, TN, FN)=(2047, 3192, 3665, 1929), Val Loss: 0.6927 (TP, FP, TN, FN)=(219, 329, 417, 225)
Epoch 066: Train Loss: 0.6537 (TP, FP, TN, FN)=(2052, 3185, 3672, 1924), Val Loss: 0.6929 (TP, FP, TN, FN)=(221, 330, 416, 223)
Epoch 067: Train Loss: 0.6529 (TP, FP, TN, FN)=(2049, 3174, 3683, 1927), Val Loss: 0.6932 (TP, FP, TN, FN)=(222, 328, 418, 222)
Epoch 068: Train Loss: 0.6523 (TP, FP, TN, FN)=(2055, 3183, 3674, 1921), Val Loss: 0.6938 (TP, FP, TN, FN)=(224, 327, 419, 220)
Epoch 069: Train Loss: 0.6516 (TP, FP, TN, FN)=(2027, 3148, 3709, 1949), Val Loss: 0.6942 (TP, FP, TN, FN)=(222, 328, 418, 222)
Epoch 070: Train Loss: 0.6509 (TP, FP, TN, FN)=(2018, 3101, 3756, 1958), Val Loss: 0.6946 (TP, FP, TN, FN)=(221, 323, 423, 223)
