Epoch 035: Train Loss: 0.6853 (TP, FP, TN, FN)=(342, 546, 6672, 3917), Val Loss: 0.6962 (TP, FP, TN, FN)=(35, 56, 690, 409), f1=0.1308
Epoch 036: Train Loss: 0.6828 (TP, FP, TN, FN)=(396, 665, 6321, 3607), Val Loss: 0.6907 (TP, FP, TN, FN)=(42, 75, 671, 402), f1=0.1497
Epoch 037: Train Loss: 0.6765 (TP, FP, TN, FN)=(593, 979, 6028, 3452), Val Loss: 0.6837 (TP, FP, TN, FN)=(66, 107, 639, 378), f1=0.2139
Epoch 038: Train Loss: 0.6735 (TP, FP, TN, FN)=(844, 1540, 5436, 3163), Val Loss: 0.6765 (TP, FP, TN, FN)=(101, 156, 590, 343), f1=0.2882
Epoch 039: Train Loss: 0.6695 (TP, FP, TN, FN)=(1227, 2259, 4770, 2789), Val Loss: 0.6709 (TP, FP, TN, FN)=(145, 237, 509, 299), f1=0.3511
Epoch 040: Train Loss: 0.6695 (TP, FP, TN, FN)=(1630, 2946, 4005, 2380), Val Loss: 0.6681 (TP, FP, TN, FN)=(190, 313, 433, 254), f1=0.4013
Epoch 041: Train Loss: 0.6687 (TP, FP, TN, FN)=(2044, 3557, 3414, 1990), Val Loss: 0.6678 (TP, FP, TN, FN)=(225, 376, 370, 219), f1=0.4306
Epoch 042: Train Loss: 0.6694 (TP, FP, TN, FN)=(2356, 4005, 3022, 1874), Val Loss: 0.6678 (TP, FP, TN, FN)=(249, 407, 339, 195), f1=0.4527
Epoch 043: Train Loss: 0.6695 (TP, FP, TN, FN)=(2403, 4157, 2836, 1650), Val Loss: 0.6679 (TP, FP, TN, FN)=(260, 426, 320, 184), f1=0.4602
Epoch 044: Train Loss: 0.6689 (TP, FP, TN, FN)=(2510, 4229, 2849, 1732), Val Loss: 0.6678 (TP, FP, TN, FN)=(263, 436, 310, 181), f1=0.4602
Epoch 045: Train Loss: 0.6677 (TP, FP, TN, FN)=(2321, 4008, 2930, 1693), Val Loss: 0.6667 (TP, FP, TN, FN)=(259, 415, 331, 185), f1=0.4633
Epoch 046: Train Loss: 0.6663 (TP, FP, TN, FN)=(2210, 3759, 3182, 1796), Val Loss: 0.6642 (TP, FP, TN, FN)=(248, 388, 358, 196), f1=0.4593
Epoch 047: Train Loss: 0.6647 (TP, FP, TN, FN)=(2054, 3546, 3531, 1973), Val Loss: 0.6629 (TP, FP, TN, FN)=(231, 362, 384, 213), f1=0.4455
Epoch 048: Train Loss: 0.6621 (TP, FP, TN, FN)=(1874, 3126, 3888, 2138), Val Loss: 0.6628 (TP, FP, TN, FN)=(207, 322, 424, 237), f1=0.4255
Epoch 049: Train Loss: 0.6626 (TP, FP, TN, FN)=(1735, 2845, 4135, 2297), Val Loss: 0.6631 (TP, FP, TN, FN)=(192, 292, 454, 252), f1=0.4138
Epoch 050: Train Loss: 0.6616 (TP, FP, TN, FN)=(1651, 2609, 4531, 2611), Val Loss: 0.6642 (TP, FP, TN, FN)=(177, 256, 490, 267), f1=0.4036
Epoch 051: Train Loss: 0.6631 (TP, FP, TN, FN)=(1505, 2443, 4564, 2526), Val Loss: 0.6656 (TP, FP, TN, FN)=(171, 243, 503, 273), f1=0.3986
Epoch 052: Train Loss: 0.6610 (TP, FP, TN, FN)=(1527, 2453, 4578, 2492), Val Loss: 0.6662 (TP, FP, TN, FN)=(171, 245, 501, 273), f1=0.3977
Epoch 053: Train Loss: 0.6600 (TP, FP, TN, FN)=(1598, 2503, 4425, 2405), Val Loss: 0.6662 (TP, FP, TN, FN)=(182, 253, 493, 262), f1=0.4141
Epoch 054: Train Loss: 0.6583 (TP, FP, TN, FN)=(1723, 2697, 4288, 2292), Val Loss: 0.6660 (TP, FP, TN, FN)=(200, 273, 473, 244), f1=0.4362
Epoch 055: Train Loss: 0.6569 (TP, FP, TN, FN)=(1898, 2973, 3999, 2119), Val Loss: 0.6664 (TP, FP, TN, FN)=(222, 301, 445, 222), f1=0.4592
Epoch 056: Train Loss: 0.6557 (TP, FP, TN, FN)=(2034, 3161, 3760, 1951), Val Loss: 0.6670 (TP, FP, TN, FN)=(234, 324, 422, 210), f1=0.4671
Epoch 057: Train Loss: 0.6548 (TP, FP, TN, FN)=(2169, 3340, 3607, 1826), Val Loss: 0.6666 (TP, FP, TN, FN)=(251, 342, 404, 193), f1=0.4841
Epoch 058: Train Loss: 0.6544 (TP, FP, TN, FN)=(2298, 3496, 3541, 1745), Val Loss: 0.6665 (TP, FP, TN, FN)=(261, 355, 391, 183), f1=0.4925
Epoch 059: Train Loss: 0.6533 (TP, FP, TN, FN)=(2286, 3448, 3461, 1707), Val Loss: 0.6658 (TP, FP, TN, FN)=(264, 353, 393, 180), f1=0.4976
Epoch 060: Train Loss: 0.6521 (TP, FP, TN, FN)=(2246, 3396, 3601, 1779), Val Loss: 0.6647 (TP, FP, TN, FN)=(256, 344, 402, 188), f1=0.4904
Epoch 061: Train Loss: 0.6533 (TP, FP, TN, FN)=(2255, 3336, 3749, 1999), Val Loss: 0.6628 (TP, FP, TN, FN)=(244, 329, 417, 200), f1=0.4798
Epoch 062: Train Loss: 0.6508 (TP, FP, TN, FN)=(2056, 3122, 3787, 1943), Val Loss: 0.6590 (TP, FP, TN, FN)=(238, 309, 437, 206), f1=0.4803
Epoch 063: Train Loss: 0.6515 (TP, FP, TN, FN)=(2057, 3139, 3976, 2012), Val Loss: 0.6565 (TP, FP, TN, FN)=(231, 293, 453, 213), f1=0.4773
