Epoch 035: Train Loss: 0.6776 (TP, FP, TN, FN)=(1303, 2130, 4856, 2692), Val Loss: 0.6926 (TP, FP, TN, FN)=(145, 218, 528, 299), f1=0.3594
Epoch 036: Train Loss: 0.6774 (TP, FP, TN, FN)=(1298, 2113, 4780, 2686), Val Loss: 0.6919 (TP, FP, TN, FN)=(145, 219, 527, 299), f1=0.3589
Epoch 037: Train Loss: 0.6762 (TP, FP, TN, FN)=(1344, 2198, 4670, 2633), Val Loss: 0.6909 (TP, FP, TN, FN)=(150, 230, 516, 294), f1=0.3641
Epoch 038: Train Loss: 0.6755 (TP, FP, TN, FN)=(1429, 2332, 4567, 2552), Val Loss: 0.6898 (TP, FP, TN, FN)=(159, 254, 492, 285), f1=0.3711
Epoch 039: Train Loss: 0.6745 (TP, FP, TN, FN)=(1535, 2520, 4412, 2464), Val Loss: 0.6891 (TP, FP, TN, FN)=(167, 277, 469, 277), f1=0.3761
Epoch 040: Train Loss: 0.6735 (TP, FP, TN, FN)=(1661, 2697, 4185, 2330), Val Loss: 0.6892 (TP, FP, TN, FN)=(178, 296, 450, 266), f1=0.3878
Epoch 041: Train Loss: 0.6728 (TP, FP, TN, FN)=(1774, 2882, 4000, 2217), Val Loss: 0.6897 (TP, FP, TN, FN)=(190, 312, 434, 254), f1=0.4017
Epoch 042: Train Loss: 0.6724 (TP, FP, TN, FN)=(1868, 3023, 3861, 2111), Val Loss: 0.6903 (TP, FP, TN, FN)=(200, 327, 419, 244), f1=0.4119
Epoch 043: Train Loss: 0.6721 (TP, FP, TN, FN)=(1942, 3143, 3768, 2045), Val Loss: 0.6905 (TP, FP, TN, FN)=(206, 333, 413, 238), f1=0.4191
Epoch 044: Train Loss: 0.6712 (TP, FP, TN, FN)=(1978, 3166, 3741, 2019), Val Loss: 0.6902 (TP, FP, TN, FN)=(210, 341, 405, 234), f1=0.4221
Epoch 045: Train Loss: 0.6702 (TP, FP, TN, FN)=(1980, 3144, 3713, 1996), Val Loss: 0.6900 (TP, FP, TN, FN)=(213, 341, 405, 231), f1=0.4269
Epoch 046: Train Loss: 0.6698 (TP, FP, TN, FN)=(1986, 3103, 3767, 1995), Val Loss: 0.6898 (TP, FP, TN, FN)=(211, 334, 412, 233), f1=0.4267
Epoch 047: Train Loss: 0.6684 (TP, FP, TN, FN)=(1945, 3008, 3857, 2033), Val Loss: 0.6888 (TP, FP, TN, FN)=(209, 327, 419, 235), f1=0.4265
Epoch 048: Train Loss: 0.6672 (TP, FP, TN, FN)=(1907, 2950, 3918, 2070), Val Loss: 0.6880 (TP, FP, TN, FN)=(207, 320, 426, 237), f1=0.4264
Epoch 049: Train Loss: 0.6671 (TP, FP, TN, FN)=(1872, 2870, 4010, 2107), Val Loss: 0.6873 (TP, FP, TN, FN)=(202, 307, 439, 242), f1=0.4239
Epoch 050: Train Loss: 0.6659 (TP, FP, TN, FN)=(1868, 2829, 4056, 2122), Val Loss: 0.6868 (TP, FP, TN, FN)=(203, 305, 441, 241), f1=0.4265
Epoch 051: Train Loss: 0.6654 (TP, FP, TN, FN)=(1866, 2804, 4053, 2110), Val Loss: 0.6871 (TP, FP, TN, FN)=(206, 305, 441, 238), f1=0.4314
Epoch 052: Train Loss: 0.6646 (TP, FP, TN, FN)=(1877, 2823, 4061, 2106), Val Loss: 0.6876 (TP, FP, TN, FN)=(206, 307, 439, 238), f1=0.4305
Epoch 053: Train Loss: 0.6640 (TP, FP, TN, FN)=(1919, 2885, 3985, 2059), Val Loss: 0.6877 (TP, FP, TN, FN)=(213, 316, 430, 231), f1=0.4378
Epoch 054: Train Loss: 0.6632 (TP, FP, TN, FN)=(1986, 2974, 3883, 1990), Val Loss: 0.6881 (TP, FP, TN, FN)=(219, 325, 421, 225), f1=0.4433
Epoch 055: Train Loss: 0.6621 (TP, FP, TN, FN)=(2032, 3051, 3809, 1944), Val Loss: 0.6879 (TP, FP, TN, FN)=(220, 334, 412, 224), f1=0.4409
Epoch 056: Train Loss: 0.6620 (TP, FP, TN, FN)=(2070, 3135, 3805, 1916), Val Loss: 0.6878 (TP, FP, TN, FN)=(227, 333, 413, 217), f1=0.4522
Epoch 057: Train Loss: 0.6609 (TP, FP, TN, FN)=(2099, 3171, 3732, 1882), Val Loss: 0.6877 (TP, FP, TN, FN)=(228, 341, 405, 216), f1=0.4501
Epoch 058: Train Loss: 0.6601 (TP, FP, TN, FN)=(2114, 3214, 3675, 1866), Val Loss: 0.6870 (TP, FP, TN, FN)=(227, 346, 400, 217), f1=0.4464
Epoch 059: Train Loss: 0.6589 (TP, FP, TN, FN)=(2109, 3205, 3669, 1873), Val Loss: 0.6864 (TP, FP, TN, FN)=(230, 342, 404, 214), f1=0.4528
Epoch 060: Train Loss: 0.6588 (TP, FP, TN, FN)=(2075, 3141, 3739, 1904), Val Loss: 0.6860 (TP, FP, TN, FN)=(223, 343, 403, 221), f1=0.4416
Epoch 061: Train Loss: 0.6579 (TP, FP, TN, FN)=(2046, 3093, 3779, 1943), Val Loss: 0.6857 (TP, FP, TN, FN)=(222, 338, 408, 222), f1=0.4422
Epoch 062: Train Loss: 0.6574 (TP, FP, TN, FN)=(2013, 3052, 3828, 1966), Val Loss: 0.6852 (TP, FP, TN, FN)=(220, 330, 416, 224), f1=0.4427
Epoch 063: Train Loss: 0.6568 (TP, FP, TN, FN)=(2002, 3059, 3823, 1994), Val Loss: 0.6854 (TP, FP, TN, FN)=(214, 330, 416, 230), f1=0.4332
Epoch 064: Train Loss: 0.6554 (TP, FP, TN, FN)=(1994, 3038, 3821, 1984), Val Loss: 0.6856 (TP, FP, TN, FN)=(213, 327, 419, 231), f1=0.4329
Epoch 065: Train Loss: 0.6548 (TP, FP, TN, FN)=(1999, 3060, 3807, 1978), Val Loss: 0.6854 (TP, FP, TN, FN)=(215, 324, 422, 229), f1=0.4374
Epoch 066: Train Loss: 0.6537 (TP, FP, TN, FN)=(2016, 3090, 3767, 1960), Val Loss: 0.6847 (TP, FP, TN, FN)=(217, 329, 417, 227), f1=0.4384
Epoch 067: Train Loss: 0.6531 (TP, FP, TN, FN)=(2030, 3136, 3807, 1964), Val Loss: 0.6842 (TP, FP, TN, FN)=(219, 332, 414, 225), f1=0.4402
