Epoch 001: Train Loss: 7.1863 (TP, FP, TN, FN)=(25, 85, 0, 0), Val Loss: 8.0452 (TP, FP, TN, FN)=(1, 11, 0, 0)
Epoch 002: Train Loss: 15.8133 (TP, FP, TN, FN)=(0, 0, 85, 25), Val Loss: 7.1011 (TP, FP, TN, FN)=(0, 0, 11, 1)
Epoch 003: Train Loss: 8.5527 (TP, FP, TN, FN)=(0, 0, 85, 25), Val Loss: 5.2757 (TP, FP, TN, FN)=(0, 0, 11, 1)
Epoch 004: Train Loss: 3.0512 (TP, FP, TN, FN)=(0, 1, 84, 25), Val Loss: 1.8839 (TP, FP, TN, FN)=(0, 0, 11, 1)
Epoch 005: Train Loss: 1.6742 (TP, FP, TN, FN)=(23, 82, 3, 2), Val Loss: 2.2371 (TP, FP, TN, FN)=(1, 10, 1, 0)
Epoch 006: Train Loss: 2.5491 (TP, FP, TN, FN)=(25, 85, 0, 0), Val Loss: 3.7385 (TP, FP, TN, FN)=(1, 11, 0, 0)
Epoch 007: Train Loss: 1.4498 (TP, FP, TN, FN)=(25, 81, 4, 0), Val Loss: 2.1797 (TP, FP, TN, FN)=(1, 10, 1, 0)
Epoch 008: Train Loss: 0.7715 (TP, FP, TN, FN)=(14, 37, 48, 11), Val Loss: 0.4701 (TP, FP, TN, FN)=(1, 5, 6, 0)
Epoch 009: Train Loss: 1.1419 (TP, FP, TN, FN)=(1, 2, 83, 24), Val Loss: 0.1643 (TP, FP, TN, FN)=(1, 0, 11, 0)
Epoch 010: Train Loss: 1.3530 (TP, FP, TN, FN)=(1, 2, 83, 24), Val Loss: 0.2897 (TP, FP, TN, FN)=(0, 0, 11, 1)
Epoch 011: Train Loss: 1.1802 (TP, FP, TN, FN)=(1, 2, 83, 24), Val Loss: 0.2577 (TP, FP, TN, FN)=(0, 0, 11, 1)
Epoch 012: Train Loss: 0.8068 (TP, FP, TN, FN)=(2, 5, 80, 23), Val Loss: 0.1773 (TP, FP, TN, FN)=(1, 0, 11, 0)
Epoch 013: Train Loss: 0.6102 (TP, FP, TN, FN)=(10, 24, 61, 15), Val Loss: 0.3479 (TP, FP, TN, FN)=(1, 3, 8, 0)
Epoch 014: Train Loss: 0.7689 (TP, FP, TN, FN)=(22, 67, 18, 3), Val Loss: 0.9007 (TP, FP, TN, FN)=(1, 9, 2, 0)
Epoch 015: Train Loss: 0.9181 (TP, FP, TN, FN)=(24, 76, 9, 1), Val Loss: 1.3271 (TP, FP, TN, FN)=(1, 11, 0, 0)
Epoch 016: Train Loss: 0.8638 (TP, FP, TN, FN)=(23, 74, 11, 2), Val Loss: 1.2712 (TP, FP, TN, FN)=(1, 10, 1, 0)
Epoch 017: Train Loss: 0.6994 (TP, FP, TN, FN)=(19, 53, 32, 6), Val Loss: 0.8903 (TP, FP, TN, FN)=(1, 7, 4, 0)
Epoch 018: Train Loss: 0.5993 (TP, FP, TN, FN)=(11, 18, 67, 14), Val Loss: 0.4319 (TP, FP, TN, FN)=(1, 3, 8, 0)
Epoch 019: Train Loss: 0.6208 (TP, FP, TN, FN)=(7, 9, 76, 18), Val Loss: 0.2375 (TP, FP, TN, FN)=(1, 0, 11, 0)
Epoch 020: Train Loss: 0.6946 (TP, FP, TN, FN)=(3, 3, 82, 22), Val Loss: 0.1793 (TP, FP, TN, FN)=(1, 0, 11, 0)
Epoch 021: Train Loss: 0.6742 (TP, FP, TN, FN)=(3, 3, 82, 22), Val Loss: 0.2101 (TP, FP, TN, FN)=(1, 0, 11, 0)
Epoch 022: Train Loss: 0.6374 (TP, FP, TN, FN)=(4, 4, 81, 21), Val Loss: 0.2916 (TP, FP, TN, FN)=(1, 0, 11, 0)
Epoch 023: Train Loss: 0.5871 (TP, FP, TN, FN)=(8, 6, 79, 17), Val Loss: 0.3574 (TP, FP, TN, FN)=(1, 2, 9, 0)
Epoch 024: Train Loss: 0.5617 (TP, FP, TN, FN)=(10, 14, 71, 15), Val Loss: 0.4749 (TP, FP, TN, FN)=(1, 3, 8, 0)
Epoch 025: Train Loss: 0.5663 (TP, FP, TN, FN)=(11, 26, 59, 14), Val Loss: 0.6085 (TP, FP, TN, FN)=(1, 4, 7, 0)
Epoch 026: Train Loss: 0.5687 (TP, FP, TN, FN)=(13, 36, 49, 12), Val Loss: 0.6870 (TP, FP, TN, FN)=(1, 5, 6, 0)
Epoch 027: Train Loss: 0.5621 (TP, FP, TN, FN)=(14, 39, 46, 11), Val Loss: 0.6578 (TP, FP, TN, FN)=(1, 6, 5, 0)
Epoch 028: Train Loss: 0.5417 (TP, FP, TN, FN)=(15, 37, 48, 10), Val Loss: 0.5915 (TP, FP, TN, FN)=(1, 6, 5, 0)
Epoch 029: Train Loss: 0.5197 (TP, FP, TN, FN)=(13, 29, 56, 12), Val Loss: 0.5094 (TP, FP, TN, FN)=(1, 5, 6, 0)
Epoch 030: Train Loss: 0.5080 (TP, FP, TN, FN)=(11, 22, 63, 14), Val Loss: 0.4438 (TP, FP, TN, FN)=(1, 2, 9, 0)
Epoch 031: Train Loss: 0.5090 (TP, FP, TN, FN)=(9, 16, 69, 16), Val Loss: 0.4116 (TP, FP, TN, FN)=(1, 1, 10, 0)
Epoch 032: Train Loss: 0.5132 (TP, FP, TN, FN)=(9, 12, 73, 16), Val Loss: 0.3998 (TP, FP, TN, FN)=(1, 1, 10, 0)
Epoch 033: Train Loss: 0.5095 (TP, FP, TN, FN)=(9, 15, 70, 16), Val Loss: 0.3964 (TP, FP, TN, FN)=(1, 1, 10, 0)
Epoch 034: Train Loss: 0.4959 (TP, FP, TN, FN)=(11, 19, 66, 14), Val Loss: 0.4038 (TP, FP, TN, FN)=(1, 3, 8, 0)
Epoch 035: Train Loss: 0.4853 (TP, FP, TN, FN)=(14, 25, 60, 11), Val Loss: 0.4289 (TP, FP, TN, FN)=(1, 5, 6, 0)
Epoch 036: Train Loss: 0.4838 (TP, FP, TN, FN)=(15, 27, 58, 10), Val Loss: 0.4558 (TP, FP, TN, FN)=(1, 6, 5, 0)
Epoch 037: Train Loss: 0.4811 (TP, FP, TN, FN)=(15, 29, 56, 10), Val Loss: 0.4575 (TP, FP, TN, FN)=(1, 6, 5, 0)
