Epoch 001: Train Loss: 3.0316 (TP, FP, TN, FN)=(4030, 7136, 54, 20), Val Loss: 2.6710 (TP, FP, TN, FN)=(479, 747, 6, 2)
Epoch 002: Train Loss: 14.4528 (TP, FP, TN, FN)=(0, 0, 7190, 4050), Val Loss: 15.3089 (TP, FP, TN, FN)=(0, 0, 753, 481)
Epoch 003: Train Loss: 9.9667 (TP, FP, TN, FN)=(0, 0, 7190, 4050), Val Loss: 10.0954 (TP, FP, TN, FN)=(0, 0, 753, 481)
Epoch 004: Train Loss: 4.7834 (TP, FP, TN, FN)=(0, 0, 7190, 4050), Val Loss: 4.8465 (TP, FP, TN, FN)=(0, 0, 753, 481)
Epoch 005: Train Loss: 0.9231 (TP, FP, TN, FN)=(2531, 3503, 3687, 1519), Val Loss: 0.8627 (TP, FP, TN, FN)=(286, 351, 402, 195)
Epoch 006: Train Loss: 2.8713 (TP, FP, TN, FN)=(4050, 7190, 0, 0), Val Loss: 2.7985 (TP, FP, TN, FN)=(481, 753, 0, 0)
Epoch 007: Train Loss: 2.4353 (TP, FP, TN, FN)=(4050, 7190, 0, 0), Val Loss: 2.4004 (TP, FP, TN, FN)=(481, 753, 0, 0)
Epoch 008: Train Loss: 1.4438 (TP, FP, TN, FN)=(4048, 7188, 2, 2), Val Loss: 1.4532 (TP, FP, TN, FN)=(481, 753, 0, 0)
Epoch 009: Train Loss: 0.7833 (TP, FP, TN, FN)=(3642, 6241, 949, 408), Val Loss: 0.8026 (TP, FP, TN, FN)=(419, 653, 100, 62)
Epoch 010: Train Loss: 0.8190 (TP, FP, TN, FN)=(32, 83, 7107, 4018), Val Loss: 0.8538 (TP, FP, TN, FN)=(1, 6, 747, 480)
Epoch 011: Train Loss: 1.0006 (TP, FP, TN, FN)=(0, 3, 7187, 4050), Val Loss: 1.0309 (TP, FP, TN, FN)=(0, 0, 753, 481)
Epoch 012: Train Loss: 1.0048 (TP, FP, TN, FN)=(0, 1, 7189, 4050), Val Loss: 1.0215 (TP, FP, TN, FN)=(0, 0, 753, 481)
Epoch 013: Train Loss: 0.8734 (TP, FP, TN, FN)=(0, 5, 7185, 4050), Val Loss: 0.8839 (TP, FP, TN, FN)=(0, 0, 753, 481)
Epoch 014: Train Loss: 0.7363 (TP, FP, TN, FN)=(52, 129, 7061, 3998), Val Loss: 0.7455 (TP, FP, TN, FN)=(7, 11, 742, 474)
Epoch 015: Train Loss: 0.7075 (TP, FP, TN, FN)=(3371, 5551, 1639, 679), Val Loss: 0.7074 (TP, FP, TN, FN)=(395, 576, 177, 86)
Epoch 016: Train Loss: 0.7723 (TP, FP, TN, FN)=(3992, 6993, 197, 58), Val Loss: 0.7633 (TP, FP, TN, FN)=(474, 733, 20, 7)
Epoch 017: Train Loss: 0.8122 (TP, FP, TN, FN)=(4037, 7145, 45, 13), Val Loss: 0.7999 (TP, FP, TN, FN)=(478, 748, 5, 3)
Epoch 018: Train Loss: 0.7941 (TP, FP, TN, FN)=(4035, 7131, 59, 15), Val Loss: 0.7833 (TP, FP, TN, FN)=(478, 746, 7, 3)
Epoch 019: Train Loss: 0.7470 (TP, FP, TN, FN)=(3984, 6968, 222, 66), Val Loss: 0.7403 (TP, FP, TN, FN)=(474, 732, 21, 7)
Epoch 020: Train Loss: 0.7075 (TP, FP, TN, FN)=(3817, 6497, 693, 233), Val Loss: 0.7034 (TP, FP, TN, FN)=(449, 666, 87, 32)
Epoch 021: Train Loss: 0.6932 (TP, FP, TN, FN)=(2801, 4268, 2922, 1249), Val Loss: 0.6873 (TP, FP, TN, FN)=(324, 433, 320, 157)
Epoch 022: Train Loss: 0.6986 (TP, FP, TN, FN)=(398, 573, 6617, 3652), Val Loss: 0.6891 (TP, FP, TN, FN)=(48, 60, 693, 433)
Epoch 023: Train Loss: 0.7106 (TP, FP, TN, FN)=(48, 71, 7119, 4002), Val Loss: 0.6990 (TP, FP, TN, FN)=(10, 11, 742, 471)
Epoch 024: Train Loss: 0.7191 (TP, FP, TN, FN)=(29, 41, 7149, 4021), Val Loss: 0.7071 (TP, FP, TN, FN)=(6, 8, 745, 475)
