Epoch 001: Train Loss: 1.7990 (TP, FP, TN, FN)=(1468, 2711, 4146, 2508), Val Loss: 2.6098 (TP, FP, TN, FN)=(175, 296, 450, 269)
Epoch 002: Train Loss: 8.2965 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 8.6251 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 003: Train Loss: 1.6091 (TP, FP, TN, FN)=(2602, 4868, 1989, 1374), Val Loss: 1.7047 (TP, FP, TN, FN)=(291, 546, 200, 153)
Epoch 004: Train Loss: 4.9631 (TP, FP, TN, FN)=(6, 5, 6852, 3970), Val Loss: 5.3030 (TP, FP, TN, FN)=(0, 1, 745, 444)
Epoch 005: Train Loss: 4.4502 (TP, FP, TN, FN)=(4, 1, 6856, 3972), Val Loss: 4.8005 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 006: Train Loss: 2.1620 (TP, FP, TN, FN)=(54, 69, 6788, 3922), Val Loss: 2.2856 (TP, FP, TN, FN)=(2, 5, 741, 442)
Epoch 007: Train Loss: 0.8789 (TP, FP, TN, FN)=(2121, 4382, 2475, 1855), Val Loss: 0.9380 (TP, FP, TN, FN)=(245, 490, 256, 199)
Epoch 008: Train Loss: 1.6643 (TP, FP, TN, FN)=(3963, 6843, 14, 13), Val Loss: 1.7847 (TP, FP, TN, FN)=(439, 745, 1, 5)
Epoch 009: Train Loss: 1.7321 (TP, FP, TN, FN)=(3965, 6842, 15, 11), Val Loss: 1.8114 (TP, FP, TN, FN)=(441, 745, 1, 3)
Epoch 010: Train Loss: 1.2452 (TP, FP, TN, FN)=(3909, 6701, 156, 67), Val Loss: 1.3270 (TP, FP, TN, FN)=(428, 734, 12, 16)
Epoch 011: Train Loss: 0.8526 (TP, FP, TN, FN)=(2555, 4684, 2173, 1421), Val Loss: 0.9244 (TP, FP, TN, FN)=(298, 510, 236, 146)
Epoch 012: Train Loss: 0.9127 (TP, FP, TN, FN)=(516, 1075, 5782, 3460), Val Loss: 1.0012 (TP, FP, TN, FN)=(57, 114, 632, 387)
Epoch 013: Train Loss: 1.0773 (TP, FP, TN, FN)=(161, 296, 6561, 3815), Val Loss: 1.1433 (TP, FP, TN, FN)=(18, 30, 716, 426)
Epoch 014: Train Loss: 1.0009 (TP, FP, TN, FN)=(134, 240, 6617, 3842), Val Loss: 1.0387 (TP, FP, TN, FN)=(16, 24, 722, 428)
Epoch 015: Train Loss: 0.8475 (TP, FP, TN, FN)=(244, 467, 6390, 3732), Val Loss: 0.8792 (TP, FP, TN, FN)=(33, 45, 701, 411)
Epoch 016: Train Loss: 0.7337 (TP, FP, TN, FN)=(665, 1429, 5428, 3311), Val Loss: 0.7592 (TP, FP, TN, FN)=(69, 156, 590, 375)
Epoch 017: Train Loss: 0.7130 (TP, FP, TN, FN)=(2078, 3856, 3001, 1898), Val Loss: 0.7352 (TP, FP, TN, FN)=(229, 400, 346, 215)
Epoch 018: Train Loss: 0.7565 (TP, FP, TN, FN)=(3540, 6128, 729, 436), Val Loss: 0.7761 (TP, FP, TN, FN)=(401, 665, 81, 43)
Epoch 019: Train Loss: 0.7921 (TP, FP, TN, FN)=(3903, 6692, 165, 73), Val Loss: 0.8138 (TP, FP, TN, FN)=(436, 729, 17, 8)
Epoch 020: Train Loss: 0.7809 (TP, FP, TN, FN)=(3893, 6674, 183, 83), Val Loss: 0.8040 (TP, FP, TN, FN)=(432, 725, 21, 12)
Epoch 021: Train Loss: 0.7378 (TP, FP, TN, FN)=(3748, 6297, 560, 228), Val Loss: 0.7668 (TP, FP, TN, FN)=(418, 677, 69, 26)
Epoch 022: Train Loss: 0.7031 (TP, FP, TN, FN)=(2664, 4369, 2488, 1312), Val Loss: 0.7453 (TP, FP, TN, FN)=(298, 465, 281, 146)
Epoch 023: Train Loss: 0.7045 (TP, FP, TN, FN)=(1052, 1759, 5098, 2924), Val Loss: 0.7631 (TP, FP, TN, FN)=(106, 193, 553, 338)
Epoch 024: Train Loss: 0.7295 (TP, FP, TN, FN)=(353, 592, 6265, 3623), Val Loss: 0.7988 (TP, FP, TN, FN)=(34, 58, 688, 410)
Epoch 025: Train Loss: 0.7403 (TP, FP, TN, FN)=(238, 390, 6467, 3738), Val Loss: 0.8091 (TP, FP, TN, FN)=(25, 39, 707, 419)
Epoch 026: Train Loss: 0.7271 (TP, FP, TN, FN)=(303, 484, 6373, 3673), Val Loss: 0.7842 (TP, FP, TN, FN)=(32, 45, 701, 412)
Epoch 027: Train Loss: 0.7052 (TP, FP, TN, FN)=(562, 961, 5896, 3414), Val Loss: 0.7471 (TP, FP, TN, FN)=(58, 110, 636, 386)
Epoch 028: Train Loss: 0.6911 (TP, FP, TN, FN)=(1255, 2126, 4731, 2721), Val Loss: 0.7193 (TP, FP, TN, FN)=(133, 230, 516, 311)
Epoch 029: Train Loss: 0.6903 (TP, FP, TN, FN)=(2204, 3683, 3174, 1772), Val Loss: 0.7095 (TP, FP, TN, FN)=(256, 380, 366, 188)
Epoch 030: Train Loss: 0.6975 (TP, FP, TN, FN)=(2878, 4920, 1937, 1098), Val Loss: 0.7114 (TP, FP, TN, FN)=(329, 523, 223, 115)
Epoch 031: Train Loss: 0.7038 (TP, FP, TN, FN)=(3189, 5494, 1363, 787), Val Loss: 0.7156 (TP, FP, TN, FN)=(363, 595, 151, 81)
Epoch 032: Train Loss: 0.7037 (TP, FP, TN, FN)=(3159, 5474, 1383, 817), Val Loss: 0.7144 (TP, FP, TN, FN)=(364, 598, 148, 80)
Epoch 033: Train Loss: 0.6973 (TP, FP, TN, FN)=(2837, 4934, 1923, 1139), Val Loss: 0.7069 (TP, FP, TN, FN)=(324, 530, 216, 120)
Epoch 034: Train Loss: 0.6896 (TP, FP, TN, FN)=(2261, 3953, 2904, 1715), Val Loss: 0.6983 (TP, FP, TN, FN)=(261, 410, 336, 183)
Epoch 035: Train Loss: 0.6856 (TP, FP, TN, FN)=(1584, 2870, 3987, 2392), Val Loss: 0.6938 (TP, FP, TN, FN)=(173, 307, 439, 271)
Epoch 036: Train Loss: 0.6868 (TP, FP, TN, FN)=(1038, 1868, 4989, 2938), Val Loss: 0.6951 (TP, FP, TN, FN)=(115, 206, 540, 329)
Epoch 037: Train Loss: 0.6905 (TP, FP, TN, FN)=(748, 1347, 5510, 3228), Val Loss: 0.6992 (TP, FP, TN, FN)=(74, 143, 603, 370)
Epoch 038: Train Loss: 0.6923 (TP, FP, TN, FN)=(660, 1134, 5723, 3316), Val Loss: 0.7014 (TP, FP, TN, FN)=(64, 126, 620, 380)
Epoch 039: Train Loss: 0.6905 (TP, FP, TN, FN)=(694, 1197, 5660, 3282), Val Loss: 0.6995 (TP, FP, TN, FN)=(67, 131, 615, 377)
Epoch 040: Train Loss: 0.6861 (TP, FP, TN, FN)=(879, 1528, 5329, 3097), Val Loss: 0.6948 (TP, FP, TN, FN)=(91, 166, 580, 353)
Epoch 041: Train Loss: 0.6824 (TP, FP, TN, FN)=(1213, 2106, 4751, 2763), Val Loss: 0.6902 (TP, FP, TN, FN)=(139, 230, 516, 305)
Epoch 042: Train Loss: 0.6811 (TP, FP, TN, FN)=(1672, 2868, 3989, 2304), Val Loss: 0.6886 (TP, FP, TN, FN)=(184, 303, 443, 260)
Epoch 043: Train Loss: 0.6819 (TP, FP, TN, FN)=(2109, 3542, 3315, 1867), Val Loss: 0.6899 (TP, FP, TN, FN)=(235, 380, 366, 209)
Epoch 044: Train Loss: 0.6833 (TP, FP, TN, FN)=(2431, 4051, 2806, 1545), Val Loss: 0.6920 (TP, FP, TN, FN)=(278, 436, 310, 166)
Epoch 045: Train Loss: 0.6832 (TP, FP, TN, FN)=(2553, 4238, 2619, 1423), Val Loss: 0.6931 (TP, FP, TN, FN)=(295, 453, 293, 149)
Epoch 046: Train Loss: 0.6817 (TP, FP, TN, FN)=(2491, 4053, 2804, 1485), Val Loss: 0.6926 (TP, FP, TN, FN)=(289, 443, 303, 155)
Epoch 047: Train Loss: 0.6795 (TP, FP, TN, FN)=(2251, 3570, 3287, 1725), Val Loss: 0.6913 (TP, FP, TN, FN)=(252, 389, 357, 192)
Epoch 048: Train Loss: 0.6778 (TP, FP, TN, FN)=(1894, 3030, 3827, 2082), Val Loss: 0.6911 (TP, FP, TN, FN)=(213, 325, 421, 231)
Epoch 049: Train Loss: 0.6774 (TP, FP, TN, FN)=(1603, 2536, 4321, 2373), Val Loss: 0.6923 (TP, FP, TN, FN)=(175, 278, 468, 269)
Epoch 050: Train Loss: 0.6779 (TP, FP, TN, FN)=(1364, 2146, 4711, 2612), Val Loss: 0.6946 (TP, FP, TN, FN)=(148, 240, 506, 296)
Epoch 051: Train Loss: 0.6781 (TP, FP, TN, FN)=(1264, 1965, 4892, 2712), Val Loss: 0.6963 (TP, FP, TN, FN)=(136, 208, 538, 308)
Epoch 052: Train Loss: 0.6775 (TP, FP, TN, FN)=(1252, 1962, 4895, 2724), Val Loss: 0.6965 (TP, FP, TN, FN)=(138, 205, 541, 306)
Epoch 053: Train Loss: 0.6763 (TP, FP, TN, FN)=(1354, 2123, 4734, 2622), Val Loss: 0.6951 (TP, FP, TN, FN)=(147, 231, 515, 297)
Epoch 054: Train Loss: 0.6750 (TP, FP, TN, FN)=(1542, 2431, 4426, 2434), Val Loss: 0.6930 (TP, FP, TN, FN)=(169, 265, 481, 275)
Epoch 055: Train Loss: 0.6741 (TP, FP, TN, FN)=(1749, 2742, 4115, 2227), Val Loss: 0.6912 (TP, FP, TN, FN)=(188, 299, 447, 256)
Epoch 056: Train Loss: 0.6738 (TP, FP, TN, FN)=(1955, 3095, 3762, 2021), Val Loss: 0.6900 (TP, FP, TN, FN)=(215, 338, 408, 229)
Epoch 057: Train Loss: 0.6739 (TP, FP, TN, FN)=(2122, 3310, 3547, 1854), Val Loss: 0.6894 (TP, FP, TN, FN)=(228, 366, 380, 216)
Epoch 058: Train Loss: 0.6736 (TP, FP, TN, FN)=(2164, 3392, 3465, 1812), Val Loss: 0.6891 (TP, FP, TN, FN)=(233, 375, 371, 211)
Epoch 059: Train Loss: 0.6729 (TP, FP, TN, FN)=(2109, 3312, 3545, 1867), Val Loss: 0.6889 (TP, FP, TN, FN)=(229, 368, 378, 215)
Epoch 060: Train Loss: 0.6719 (TP, FP, TN, FN)=(1950, 3126, 3731, 2026), Val Loss: 0.6890 (TP, FP, TN, FN)=(213, 342, 404, 231)
Epoch 061: Train Loss: 0.6710 (TP, FP, TN, FN)=(1789, 2871, 3986, 2187), Val Loss: 0.6895 (TP, FP, TN, FN)=(195, 312, 434, 249)
