detector_id,correlation,correlation_ma
10424005,0.368,0.370
10424006,0.148,0.190
10424007,0.283,0.473
10424008,0.118,0.329
10424009,0.002,0.339
10424010,0.076,0.489
10424011,0.422,0.663
10424012,0.726,0.880
10427001,0.012,0.028
10427003,0.405,0.614
10427005,0.130,0.423
10427006,0.296,0.128
10427008,-0.279,-0.358
10427009,0.018,-0.087
10427010,-0.323,-0.238
10427011,-0.686,-0.788
10453001,0.302,0.626
10453002,0.447,0.739
10453003,0.132,0.078
10453004,0.200,0.175
10453005,0.259,0.612
10453006,0.470,0.715
10453007,0.370,0.367
10453008,-0.780,-0.827
10453009,0.787,0.777
105.11A,0.764,0.849
105.31A,0.678,0.775
105.32A,0.644,0.725
10532001,0.709,0.855
10532002,0.806,0.903
10532003,0.776,0.858
10532004,0.875,0.892
10547001,0.482,0.783
10547003,0.395,0.524
10547004,-0.060,-0.051
10547005,0.112,0.073
10547006,-0.006,-0.007
10547007,0.287,0.625
10547008,0.436,0.697
10547009,0.511,0.648
10547010,0.388,0.754
10547011,0.324,0.367
10547012,0.124,0.049
10547013,0.244,0.452
10547014,0.311,0.539
10547015,0.336,0.573
10575001,0.528,0.704
10575002,-0.688,-0.855
10575003,-0.296,-0.328
10575004,0.261,0.383
10575007,0.479,0.679
10575008,-0.327,-0.174
10575009,0.260,0.687
10589001,0.414,0.689
10589002,0.208,0.504
10589003,-0.405,-0.286
10589004,0.134,0.058
10589005,0.390,0.470
10589006,0.262,0.590
10589007,-0.235,-0.313
10599001,0.044,0.409
106.31,0.194,0.403
106.32,0.428,0.537
106.41A,0.782,0.875
106.42A,0.931,0.964
106.43A,0.925,0.968
106.44A,0.912,0.952
106.51,0.561,0.653
106.81A,0.361,0.393
106.82A,0.054,0.208
10656001,0.070,0.198
10656002,0.243,0.373
10656003,-0.060,-0.031
10656004,0.207,0.383
10656005,-0.207,-0.188
10656006,0.448,0.658
10656007,0.635,0.794
10656008,-0.611,-0.572
10656009,-0.379,-0.216
10656010,0.269,0.469
107.12A,-0.044,0.110
107.21A,0.499,0.644
107.81A,0.270,0.380
10736001,0.328,0.575
10736002,0.181,0.481
10736003,0.565,0.656
10736004,0.462,0.683
10877001,0.162,0.330
10877002,-0.272,-0.191
10877003,0.371,0.536
10877004,-0.213,-0.264
109.21A,0.488,0.583
109.41A,-0.345,-0.271
10926001,-0.165,0.158
1093.11A,0.887,0.947
1093.12A,0.759,0.851
10939003,0.169,0.477
1094.12,0.184,0.233
1094.13,0.745,0.810
11012001,0.050,0.431
11012002,0.201,0.381
11012003,0.193,0.462
11012005,0.339,0.472
11012006,0.303,0.368
11043001,0.008,0.393
11043002,-0.095,0.317
11043003,-0.137,-0.327
11044001,-0.267,-0.095
11044003,-0.551,-0.434
11044004,-0.294,-0.449
11044005,-0.276,-0.188
11044006,0.351,0.480
11044014,-0.093,-0.111
11055002,0.346,0.655
11055003,0.129,0.227
11055005,0.081,0.278
11055006,0.337,0.428
11055007,0.288,0.441
11055008,0.077,0.123
11101005,0.130,0.374
11101006,-0.488,-0.755
11101007,-0.228,-0.274
11101008,-0.183,0.006
11101009,-0.046,-0.217
11101010,0.011,-0.183
11140001,0.226,0.252
11140002,0.340,0.494
11180005,N/A,N/A
11180006,N/A,N/A
11238001,-0.653,-0.590
11238002,-0.062,0.048
11238005,0.369,0.354
11238006,0.535,0.665
11273001,-0.008,0.072
11273002,0.273,0.301
11273004,0.481,0.595
11273005,0.265,0.593
11273006,0.384,0.601
201.31A,0.273,0.416
201.32A,0.566,0.687
204.31,0.088,0.093
204.32,0.463,0.592
205.11,0.495,0.625
205.12,0.508,0.625
205.21A,0.462,0.628
205.22A,0.428,0.547
205.41,0.238,0.265
205.42A,0.324,0.470
208.12,0.306,0.534
208.13,0.526,0.681
208.14,-0.014,0.080
208.31A,0.585,0.682
208.32A,0.633,0.717
306.11,0.208,0.234
306.11A,0.630,0.713
306.12,-0.079,-0.060
306.12A,0.854,0.924
306.13,0.570,0.646
306.14,0.374,0.453
306.21,0.477,0.586
306.22,0.679,0.732
306.23,-0.421,-0.290
306.24,-0.297,-0.185
306.34,0.493,0.620
306.35,0.156,0.236
306.36,0.363,0.493
306.41,0.259,0.391
306.42,0.427,0.525
306.43,0.596,0.755
308.14A,0.480,0.601
308.15A,0.770,0.877
361.22,0.430,0.647
361.23,-0.179,-0.082
361.31,0.362,0.519
361.41,0.503,0.652
361.42,0.638,0.777
362.11,0.347,0.577
362.21,0.356,0.541
362.22,0.554,0.655
362.41,-0.054,0.163
362.42,-0.112,0.207
363.21A,0.781,0.827
363.22,0.630,0.734
363.22A,0.834,0.904
363.23,0.506,0.618
363.24,0.048,0.176
363.31,0.920,0.961
364.11,0.684,0.800
364.12,0.676,0.822
364.31,0.920,0.961
364.32,0.726,0.806
364.41,0.909,0.950
364.42,0.618,0.734
364.43,0.764,0.877
365.12,0.902,0.954
365.13,0.913,0.951
365.14,0.761,0.844
365.15,0.654,0.760
365.16,0.517,0.639
365.20,0.726,0.853
365.21,0.649,0.795
365.22,0.557,0.749
365.23,0.324,0.382
365.24,0.580,0.654
366.32,0.505,0.594
4000011,0.657,0.887
4000012,0.871,0.910
4000013,-0.551,-0.663
4000014,-0.162,-0.242
4001011,0.462,0.672
4001012,-0.602,-0.674
4001013,-0.281,-0.268
4001014,-0.427,-0.430
4003011,-0.903,-0.913
4003012,-0.705,-0.813
4003013,-0.929,-0.939
4003014,-0.857,-0.869
4004011,-0.826,-0.779
4004014,-0.787,-0.858
4005011,0.399,0.468
4005012,-0.890,-0.920
4005013,-0.851,-0.854
4005014,-0.173,-0.242
4005015,-0.921,-0.930
4005016,-0.522,-0.541
4006011,0.212,0.386
4006012,-0.411,-0.335
4006013,0.162,0.533
4006014,-0.370,-0.130
4007011,0.527,0.754
4007012,-0.009,0.225
4007013,-0.557,-0.690
4007014,-0.744,-0.811
4007015,-0.744,-0.811
4009011,-0.871,-0.886
4009012,0.438,0.494
4009013,0.844,0.848
